Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Transport Sector,Industry Sector,Commercial and Public Services,Residential,Agriculture/Forestry,Fishing,Non-specified (Other),Units
1990,128.641,13.987,62.029,42.847,2.98,5.644,3.392,0,0,Mt CO2
1991,131.119,14.112,60.585,43.102,3.003,5.678,3.414,0,0,Mt CO2
1992,133.854,13.815,62.08,42.817,3.121,5.892,3.462,0,0,Mt CO2
1993,134.751,14.35,63.185,43.719,3.186,6.183,3.582,0,0,Mt CO2
1994,136.962,14.877,64.83,45.416,3.166,5.989,3.668,0,0,Mt CO2
1995,142.587,15.458,67.54,46.211,3.319,6.397,3.8,0,0,Mt CO2
1996,148.744,16.559,70.023,45.995,3.407,6.682,3.805,0,0,Mt CO2
1997,153.677,16.43,71.385,47.474,3.413,6.755,3.956,0,0,Mt CO2
1998,171.613,17.671,71.387,47.599,3.504,6.897,4.038,0,0,Mt CO2
1999,176.12,17.994,72.773,47.467,3.525,6.785,4.136,0,0,Mt CO2
2000,178.866,18.005,75.014,47.985,3.579,6.989,4.202,0,0,Mt CO2
2001,186.617,17.624,74.417,47.262,3.717,7.122,4.218,0,0,Mt CO2
2002,203.123,15.604,76.132,37.912,3.853,7.289,5.043,0,0,Mt CO2
2003,187.601,22.594,76.408,44.265,3.955,7.35,6.144,0,0,Mt CO2
2004,196.831,23.009,79.182,45.275,3.984,7.26,6.153,0,0,Mt CO2
2005,200.353,22.905,79.333,43.798,4.039,7.318,6.49,0,0,Mt CO2
2006,203.869,24.14,81.251,42.659,4.136,7.423,6.022,0,0,Mt CO2
2007,210.245,24.849,83.578,43.286,4.153,7.668,5.931,0,0,Mt CO2
2008,210.251,24.732,85.298,44.793,4.217,7.699,6,0,0.003,Mt CO2
2009,220.719,24.164,84.939,41.176,4.388,8.143,5.979,0,0,Mt CO2
2010,219.124,29.276,87.634,36.972,4.416,8.262,6.129,0,0,Mt CO2
2011,210.787,30.56,89.772,39.525,4.64,8.503,6.067,0,0,Mt CO2
2012,210.43,29.025,90.432,40.999,4.779,8.62,6.175,0,0,Mt CO2
2013,199.554,31.197,91.833,41.012,4.835,8.843,6.271,0,0,Mt CO2
2014,189.993,30.487,92.025,41.013,5.134,9.033,6.227,0,0,Mt CO2
2015,198.355,29.223,91.922,37.689,5.256,9.179,6.59,0,0,Mt CO2
2016,202.719,31.184,93.276,38.216,4.45,8.906,6.982,0,0.07,Mt CO2
2017,199.483,34.768,94.863,37.721,4.567,9.055,7.498,0,0.073,Mt CO2
2018,192.035,36.565,97.271,39.434,4.603,8.867,7.551,0,0.102,Mt CO2
2019,188.069,39.946,97.04,39.334,4.355,8.946,6.24,0,0.094,Mt CO2
2020,179.618,40.681,90.504,38.966,4.269,9.372,5.53,0,0.099,Mt CO2
2021,171.952,39.796,87.607,40.177,4.354,9.327,7.634,0,0.092,Mt CO2
2022,164.613,40.273,89.189,39.957,4.57,8.933,7.151,,0.093,Mt CO2
