Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Transport Sector,Industry Sector,Commercial and Public Services,Residential,Agriculture/Forestry,Fishing,Non-specified (Other),Units
1990,12.766,15.363,82.175,46.912,2.576,13.894,10.158,0,0.909,Mt CO2
1991,14.039,14.081,85.971,50.365,2.442,14.266,10.547,0,0,Mt CO2
1992,15.237,14.67,86.613,51.218,2.478,14.782,10.847,0,0.425,Mt CO2
1993,14.449,15.792,90.076,53.42,2.429,15.326,11.985,0,0,Mt CO2
1994,13.707,16.291,94.209,55.303,3.49,15.331,12.659,0,0,Mt CO2
1995,15.678,15.865,104.193,59.298,3.614,16.05,13.57,0,0.068,Mt CO2
1996,17.079,16.894,113.667,64.98,3.068,16.714,14.167,0,0.071,Mt CO2
1997,19.72,18.518,120.61,68.874,3.373,16.733,14.722,0,1.286,Mt CO2
1998,20.59,18.448,126.899,70.941,3.698,16.809,14.049,0,0.178,Mt CO2
1999,28.266,17.361,124.251,75.529,4.393,17.146,14.644,0,0,Mt CO2
2000,31.495,18.925,125.484,83.085,4.252,17.181,14.198,0,0,Mt CO2
2001,35.479,19.758,128.041,80.972,4.424,17.239,15.584,0,0,Mt CO2
2002,30.462,20.14,130.012,83.774,4.819,16.66,15.216,0,0,Mt CO2
2003,29.462,21.356,127.514,82.712,3.747,15.53,15.289,0,0,Mt CO2
2004,33.973,22.534,136.45,85.259,3.931,15.864,15.247,0,0,Mt CO2
2005,34.722,23.967,137.192,83.933,3.655,15.591,15.058,0,0,Mt CO2
2006,34.77,24.142,140.259,84.161,3.635,15.615,15.162,0,0,Mt CO2
2007,32.948,25.217,145.965,93.214,3.807,16.123,16.097,0,0,Mt CO2
2008,42.648,27.009,151.34,93.329,3.458,16.53,17.923,0,0,Mt CO2
2009,30.543,27.687,148.717,83.779,2.92,16.739,17.396,0,0,Mt CO2
2010,45.837,24.48,167.991,98.063,2.643,17.235,18.188,0,0,Mt CO2
2011,37.034,26.923,185.152,106.7,2.701,17.472,16.776,0,0,Mt CO2
2012,55.788,27.288,202.541,102.856,2.53,17.582,17.455,0,0,Mt CO2
2013,78.913,29.331,209.784,101.576,2.431,17.995,17.479,0,0,Mt CO2
2014,99.989,27.159,214.78,98.627,2.495,18,18.179,0,0,Mt CO2
2015,95.994,26.018,200.787,94.811,2.228,18.018,18.304,0,0,Mt CO2
2016,73.988,23.545,199.046,85.256,2.236,18.209,17.919,0,0,Mt CO2
2017,74.521,26.242,200.175,91.331,2.167,18.348,19.174,0,0,Mt CO2
2018,65.919,25.29,191.865,88.358,2.209,18.211,18.781,0,0,Mt CO2
2019,67.771,22.559,193.165,84.807,2.232,18.132,19.116,0,0,Mt CO2
2020,62.457,22.119,182.607,78.542,2,18.854,19.423,0,0,Mt CO2
2021,87.868,22.424,200.165,88.564,2.273,18.305,19.53,0,0,Mt CO2
2022,50.414,21.082,212.576,89.223,2.46,18.031,20.146,,,Mt CO2
