Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Transport Sector,Industry Sector,Commercial and Public Services,Residential,Agriculture/Forestry,Fishing,Non-specified (Other),Units
1990,97.232,40.892,124.665,76.356,21.73,41.084,7.342,0,0,Mt CO2
1991,98.696,40.101,120.95,74.309,22.651,39.671,7.387,0,0,Mt CO2
1992,105.307,40.556,125.205,73.367,23.356,40.864,7.989,0,0,Mt CO2
1993,95.822,41.689,127.181,73.257,24.419,42.935,8.342,0,0,Mt CO2
1994,98.377,43.679,133.421,76.418,24.381,44.187,8.427,0,0,Mt CO2
1995,102.159,45.236,137.093,77.538,25.063,42.573,8.933,0,0,Mt CO2
1996,100.907,47.774,140.436,81.086,25.818,47.31,9.486,0,0,Mt CO2
1997,112.115,49.19,144.85,81.027,26.404,44.024,9.889,0,0,Mt CO2
1998,125.241,50.407,147.465,78.447,24.393,38.899,9.521,0,0,Mt CO2
1999,123.945,53.344,151.16,79.174,25.937,40.543,9.799,0,0,Mt CO2
2000,135.615,53.498,149.965,82.7,29.244,42.647,9.969,0,0,Mt CO2
2001,137.912,56.414,147.79,76.714,29.049,39.619,8.841,0,0,Mt CO2
2002,131.999,61.715,159.645,77.99,34.153,41.261,7.867,0,0,Mt CO2
2003,137.794,65.534,162.276,81.342,36.195,43.211,8.075,0,0,Mt CO2
2004,129.966,62.06,159.701,83.426,35.356,41.072,8.062,0,0,Mt CO2
2005,125.588,85.893,163.455,67.001,32.061,42.384,16.461,0,0,Mt CO2
2006,123.758,86.634,162.347,64.431,29.194,40.515,16.684,0,0,Mt CO2
2007,133.441,94.482,167.69,65.187,29.907,44.639,17.218,0,0,Mt CO2
2008,122.337,90.158,167.676,62.884,29.815,44.072,17.396,0,0,Mt CO2
2009,108.753,93.374,163.763,55.587,29.672,42.147,14.313,0,0,Mt CO2
2010,111.404,96.781,169.432,59.546,28.161,39.48,16.482,0,0,Mt CO2
2011,107.792,101.369,169.055,64.069,30.177,42.661,17.454,0,0,Mt CO2
2012,102.824,107.586,169.379,65.38,28.354,39.183,17.131,0,0,Mt CO2
2013,101.669,111.523,173.134,63.933,29.465,40.926,17.645,0,0,Mt CO2
2014,101.327,114.032,171.597,63.752,31.331,42.949,18.294,0,0,Mt CO2
2015,98.764,115.215,171.088,62.836,30.102,40.587,19.061,0,0,Mt CO2
2016,97.309,113.53,170.192,67.874,29.964,38.323,19.367,0,0,Mt CO2
2017,94.491,116.335,174.166,69.068,32.302,40.307,19.966,0,0,Mt CO2
2018,87.344,122.726,180.287,68.728,34.95,42.854,20.684,0,0,Mt CO2
2019,85.27,124.151,177.498,69.642,36.77,39.615,19.908,0,0,Mt CO2
2020,78.408,121.546,148.725,62.562,34.661,37.582,18.748,0,0,Mt CO2
2021,76.201,122.142,156.659,65.407,32.333,36.455,19.527,0,0,Mt CO2
2022,72.775,127.724,163.982,66.757,34.523,38.088,19.481,,,Mt CO2
