Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Transport Sector,Industry Sector,Commercial and Public Services,Residential,Agriculture/Forestry,Fishing,Non-specified (Other),Units
1990,22.492,25.258,32.197,27.812,1.009,18.507,3.091,0,0.74,Mt CO2
1991,25.018,29.068,35.85,27.664,1.237,19.005,3.006,0,0.812,Mt CO2
1992,25.405,30.767,37.913,29.146,1.549,19.861,3.819,0,0.812,Mt CO2
1993,31.777,30.918,40.488,32.19,1.937,19.668,4.422,0,0.878,Mt CO2
1994,31.861,32.038,45.353,37.838,2.121,20.151,4.626,0,0.935,Mt CO2
1995,35.491,38.781,49.256,46.741,2.637,21.339,4.825,0,0.985,Mt CO2
1996,41.738,35.785,54.597,46.88,2.843,22.604,5.184,0,1.105,Mt CO2
1997,50.497,38.272,60.65,50.9,2.934,22.938,5.053,0,1.111,Mt CO2
1998,50.344,48.245,59.199,47.631,2.851,23.779,5.53,0,1.014,Mt CO2
1999,56.922,38.671,58.783,61.239,3.197,28.113,7.812,0,1.032,Mt CO2
2000,61.948,27.412,62.686,57.943,4.261,29.423,8.355,0,2.983,Mt CO2
2001,70.133,29.872,66.753,62.206,4.34,29.117,8.82,0,3.039,Mt CO2
2002,74.503,34.74,67.99,58.984,4.277,27.854,8.663,0,2.904,Mt CO2
2003,83.263,38.208,69.274,74.671,4.082,28.246,8.3,0,2.587,Mt CO2
2004,86.351,33.305,70.828,80.259,4.544,28.374,9.452,0,2.671,Mt CO2
2005,92.94,31.166,69.838,81.3,4.316,27.053,8.743,0,2.197,Mt CO2
2006,99.494,30.679,66.294,104.64,3.822,24.37,7.572,0,2.099,Mt CO2
2007,110.92,27.742,67.814,111.197,3.544,24.65,6.378,0,2.908,Mt CO2
2008,124.739,27.766,72.07,91.569,3.24,22.105,6.42,0,2.657,Mt CO2
2009,124.182,29.066,81.681,100.247,3.114,18.485,6.863,0,2.168,Mt CO2
2010,119.662,29.334,89.113,126.173,2.697,17.006,5.964,0,1.699,Mt CO2
2011,147.008,29.018,108.496,136.208,3.261,16.754,7.848,0,1.679,Mt CO2
2012,143.998,24.788,129.624,119.421,4.066,17.47,10.504,0,1.51,Mt CO2
2013,149.184,24.428,136.118,79.352,3.869,18.888,9.933,0,0.916,Mt CO2
2014,168.891,24.872,136.586,89.465,3.608,19.604,8.977,0,0.85,Mt CO2
2015,171.42,24.089,132.024,101.293,2.843,19.973,6.288,0,0.735,Mt CO2
2016,181.063,25.385,128.099,85.951,2.67,20.369,5.865,0,0.862,Mt CO2
2017,195.098,22.747,135.043,91.614,2.53,21.983,5.302,0,0.894,Mt CO2
2018,217.72,22.875,147.309,112.073,2.176,23.024,3.941,0,0.954,Mt CO2
2019,224.669,21.322,148.044,146.899,1.775,23.541,2.46,0,0.727,Mt CO2
2020,224.857,21.164,125.96,131.055,1.579,24.193,2.28,0,0.573,Mt CO2
2021,240.102,18.965,133.921,130.612,1.733,25.729,2.767,0,0.603,Mt CO2
2022,296.466,17.497,146.612,160.602,1.132,25.728,2.448,,1.184,Mt CO2
