Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Transport Sector,Industry Sector,Commercial and Public Services,Residential,Agriculture/Forestry,Fishing,Non-specified (Other),Units
1990,35.915,5.948,39.151,37.346,9.753,30.909,11.99,0,0.228,Mt CO2
1991,38.449,6.45,42.319,45.896,10.109,34.968,12.897,0,0.178,Mt CO2
1992,38.723,7.155,44.153,44.879,12.019,43.843,15.162,0,0.483,Mt CO2
1993,44.953,9.37,49.813,36.512,11.174,43.774,12.424,0,0.859,Mt CO2
1994,48.758,9.041,56.751,41.52,14.939,54.053,12.536,0,0.741,Mt CO2
1995,51.868,9.736,55.71,43.362,14.098,57.091,12.03,0,0.671,Mt CO2
1996,54.77,10.074,59.93,37.295,16.292,60.296,11.925,0,0.671,Mt CO2
1997,58.402,10.332,61.267,42.635,15.229,63.685,11.37,0,0.683,Mt CO2
1998,58.641,11.895,63.725,38.304,16.024,63.938,12.676,0,0.876,Mt CO2
1999,66.69,22.714,71.208,42.797,15.726,64.633,11.119,0,3.665,Mt CO2
2000,70.227,20.828,76.489,43.45,16.763,69.534,11.045,0,3.925,Mt CO2
2001,76.5,20.454,80.311,43.728,17.233,70.151,10.375,0,8.596,Mt CO2
2002,80.403,22.248,86.565,44.963,17.761,77.861,9.592,0,3.662,Mt CO2
2003,82.098,25.233,91.433,48.993,18.413,79.123,10.162,0,1.935,Mt CO2
2004,91.139,27.584,96.957,51.807,19.505,85.702,10.034,0,3.146,Mt CO2
2005,97.136,33.336,104.933,58.002,20.558,89.014,10.462,0,4.336,Mt CO2
2006,106.742,30.704,111.135,61.528,22.161,99.044,11.462,0,6.479,Mt CO2
2007,112.403,32.677,110.548,74.761,23.468,106.55,11.705,0,7.948,Mt CO2
2008,125.743,31.78,115.23,79.554,23.206,99.209,12.619,0,0,Mt CO2
2009,129.014,33.074,125.208,78.51,20.819,104.575,13.084,0,0,Mt CO2
2010,132.564,31.318,116.747,84.259,20.736,99.743,13.238,0,0,Mt CO2
2011,139.658,31.345,116.936,84.645,18.557,104.853,11.804,0,0,Mt CO2
2012,146.043,31.748,123.766,87.425,17.771,95.688,12.025,0,0,Mt CO2
2013,152.825,34.53,128.237,87.312,18.483,104.532,12.329,0,0,Mt CO2
2014,155.826,35.232,141.152,93.059,17.8,104.244,11.855,0,0,Mt CO2
2015,154.671,37.713,139.104,88.442,18.024,105.968,11.875,0,0,Mt CO2
2016,153.599,37.144,130.24,91.87,18.816,113.972,11.311,0,0,Mt CO2
2017,163.905,42.636,134.85,96.502,17.057,107.55,12.191,0,0,Mt CO2
2018,162.058,41.348,138.182,94.082,16.65,104.521,12.431,0,0,Mt CO2
2019,165.607,49.378,143.325,110.016,19.205,125.273,13.021,0,0,Mt CO2
2020,180.854,50.282,128.616,119.067,18.096,132.095,16.605,0,0,Mt CO2
2021,194.499,52.001,141.384,131.52,19.635,130.07,18.059,0,0,Mt CO2
2022,197.323,52.472,142.208,132.982,19.986,132.865,18.531,,,Mt CO2
