Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Transport Sector,Industry Sector,Commercial and Public Services,Residential,Agriculture/Forestry,Fishing,Non-specified (Other),Units
1990,63.963,30.298,85.768,53.28,1.44,19.35,5.132,0,0,MtCO2
1991,73.673,32.923,91.762,52.046,2.575,19.222,5.311,0,0,MtCO2
1992,72.585,34.982,92.328,51.751,3.048,20.602,5.355,0,0,MtCO2
1993,75.178,39.004,94.564,50.03,3.387,20.85,5.39,0,0,MtCO2
1994,88.639,41.813,100.493,50.921,3.896,21.576,5.077,0,0,MtCO2
1995,83.26,38.656,92.275,49.329,3.951,21.521,5.228,0,0,MtCO2
1996,87.746,39.574,94.592,54.872,3.927,21.305,5.648,0,0,MtCO2
1997,97.134,44.35,98.734,54.953,4.042,20.81,6.024,0,0,MtCO2
1998,111.316,47.473,101.675,56.357,4.323,21.587,6.005,0,0,MtCO2
1999,110.886,41.859,104.623,51.847,4.263,19.345,6.626,0,0,MtCO2
2000,121.637,46.763,109.177,52.914,4.963,21.243,6.602,0,0,MtCO2
2001,124.998,47.564,111.433,47.885,5.062,20.668,6.536,0,0,MtCO2
2002,126.192,48.446,113.201,51.466,5.161,20.769,6.297,0,0,MtCO2
2003,132.769,53.556,119.862,52.391,3.294,21.502,6.707,0,0,MtCO2
2004,127.817,56.785,126.466,56.299,4.598,20.751,7.035,0,0,MtCO2
2005,134.849,56.733,134,58.713,4.505,19.911,7.437,0,0,MtCO2
2006,133.334,57.248,141.335,66.169,4.951,19.915,7.835,0,0,MtCO2
2007,137.689,56.048,149.532,62.127,4.617,19.579,8.13,0,0,MtCO2
2008,130.134,56.267,155.353,64.345,4.551,19.625,8.428,0,0,MtCO2
2009,136.996,56.631,151.216,52.105,4.355,18.784,8.621,0,0,MtCO2
2010,138.397,56.986,154.153,62.169,4.539,19.211,8.575,0,0,MtCO2
2011,147.23,57.348,155.267,67.93,4.49,18.934,8.863,0,0,MtCO2
2012,153.941,58.376,156.328,61.5,4.546,19.167,9.416,0,0,MtCO2
2013,144.673,56.878,154.639,65.75,4.891,17.869,8.924,0,0,MtCO2
2014,139.923,52.115,155.426,59.045,4.875,18.074,8.927,0,0,MtCO2
2015,143.05,50.557,154.862,66.017,4.89,17.746,9.647,0,0,MtCO2
2016,149.461,47.273,160.697,61.936,4.743,17.095,9.78,0,0,MtCO2
2017,153.688,40.989,156.404,68.343,4.723,16.871,9.966,0,0,MtCO2
2018,152.745,44.423,152.735,50.759,4.681,16.282,10.304,0,0,MtCO2
2019,147.977,47.776,155.511,55.882,4.47,15.767,9.517,0,0,MtCO2
2020,136.633,42.647,119.031,50.828,5.307,19.125,5.979,0,0,MtCO2
2021,145.294,48.019,120.555,43.001,5.278,19.032,5.881,0,0,MtCO2
2022,139.25,48.958,153.998,45.064,4.633,18.732,9.458,0,0,MtCO2
2023,159.952,48.868,151.417,44.312,4.453,17.376,9.421,0,0,MtCO2
