Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Transport Sector,Industry Sector,Commercial and Public Services,Residential,Agriculture/Forestry,Fishing,Non-specified (Other),Units
1990,0.393,6.927,10.032,6.244,1.074,1.406,1.351,0.042,0,MtCO2
1991,0.496,6.472,10.15,4.97,0.86,1.154,1.843,0.009,0,MtCO2
1992,0.45,9.847,10.404,4.549,0.862,0.988,1.748,0.012,0,MtCO2
1993,0.493,10.893,11.006,4.661,0.868,0.928,1.669,0.012,0,MtCO2
1994,0.577,11.473,10.841,5.577,0.957,0.918,1.76,0.012,0,MtCO2
1995,0.515,10.139,11.519,5.636,0.916,0.94,1.729,0.012,0,MtCO2
1996,0.629,9.323,12.045,6.12,1.225,1.087,1.918,0.012,0,MtCO2
1997,0.535,11.679,12.244,5.757,0.979,0.978,1.931,0.012,0,MtCO2
1998,0.564,12.66,12.676,5.982,0.925,0.953,1.982,0.012,0,MtCO2
1999,0.676,13.623,12.885,6.123,0.994,0.986,1.918,0.015,0,MtCO2
2000,0.495,9.431,12.055,6.573,0.743,0.761,0.425,1.385,0,MtCO2
2001,0.629,10.042,12.258,6.215,1.02,0.841,0.472,1.438,0,MtCO2
2002,0.651,10.084,12.26,5.383,1.286,0.891,0.434,1.498,0.046,MtCO2
2003,0.868,10.757,12.635,6.616,1.04,1.073,0.494,1.454,0.169,MtCO2
2004,0.748,11.031,13.011,6.873,0.85,0.861,0.501,1.422,0.323,MtCO2
2005,0.707,11.034,13.069,6.134,0.719,0.71,0.522,1.363,0.284,MtCO2
2006,0.78,11.356,13.683,6.099,0.791,0.734,0.515,1.287,0.269,MtCO2
2007,0.959,11.521,14.274,5.995,0.776,0.61,0.509,1.236,0.204,MtCO2
2008,0.84,13.205,13.928,6.108,0.746,0.506,0.5,1.207,0.124,MtCO2
2009,1.998,12.816,13.629,5.115,0.829,0.511,0.485,1.385,0.256,MtCO2
2010,2.743,12.375,15.01,6.454,1.053,0.693,0.444,0.599,0.214,MtCO2
2011,2.463,11.932,14.982,6.541,0.913,0.486,0.429,0.535,0.244,MtCO2
2012,2.04,12.033,15.111,6.514,0.861,0.476,0.435,0.553,0.231,MtCO2
2013,2.043,12.619,14.98,6.627,0.875,0.476,0.408,0.556,0.226,MtCO2
2014,2.112,12.791,15.282,6.37,0.852,0.372,0.372,0.59,0.193,MtCO2
2015,2.218,13.743,15.238,6.248,0.896,0.279,0.392,0.626,0.15,MtCO2
2016,2.164,13.295,14.759,6.176,1.096,0.301,0.4,0.658,0.199,MtCO2
2017,2.26,13.615,13.954,6.369,1.063,0.225,0.457,0.741,0.21,MtCO2
2018,2.27,13.129,13.947,6.468,1.114,0.163,0.451,0.806,0.143,MtCO2
2019,2.197,12.834,13.595,6.341,1.106,0.044,0.424,0.792,0.106,MtCO2
2020,1.81,12.477,12.825,6.499,0.97,0.017,0.436,0.873,0.093,MtCO2
2021,1.665,12.081,13.341,6.676,0.941,0.016,0.457,0.902,0.104,MtCO2
2022,1.67,11.476,13.74,6.361,0.939,0.013,0.423,0.869,0.085,MtCO2
2023,1.514,11.28,12.817,5.978,0.962,0.022,0.464,1.027,0.221,MtCO2
