Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Transport Sector,Industry Sector,Commercial and Public Services,Residential,Agriculture/Forestry,Fishing,Non-specified (Other),Units
1990,33.823,5.617,27.851,32.76,1.075,21.726,5.902,0,0,MtCO2
1991,35.567,5.919,26.557,34.569,1.146,22.172,5.839,0,0,MtCO2
1992,38.545,6.159,27.114,33.159,1.18,24.402,5.966,0,0,MtCO2
1993,38.358,6.733,32.271,33.159,1.016,23.774,7.212,0,0,MtCO2
1994,44.265,6.291,31.335,30.341,0.767,20.082,7.247,0,0,MtCO2
1995,45.304,6.524,35.2,33.687,0.768,24.721,7.812,0,0,MtCO2
1996,50.62,7.012,36.993,42.072,0.841,24.991,8.144,0,0,MtCO2
1997,55.482,7.699,34.348,45.511,0.922,26.279,8.081,0,0,MtCO2
1998,60.218,7.426,31.717,46.994,0.795,23.237,8.005,0,0,MtCO2
1999,65.311,6.59,33.299,41.361,0.516,22.753,8.229,0,0,MtCO2
2000,68.358,6.597,34.735,58.025,1.734,23.533,8.229,0,0,MtCO2
2001,69.831,6.751,33.311,42.427,2.005,20.152,8.2,0,0,MtCO2
2002,64.531,7.009,35.076,53.094,2.356,21.573,8.955,0,0,MtCO2
2003,65.531,6.768,35.126,59.954,3.803,23.876,8.077,0,0,MtCO2
2004,66.62,7.099,35.743,58.608,4.8,25.431,9.084,0,0,MtCO2
2005,74.515,6.638,36.941,54.957,5.512,28.153,9.163,0,0,MtCO2
2006,83.571,6.62,41.651,63.087,7.409,28.107,9.795,0,0,MtCO2
2007,99.258,7.392,47.45,62.918,8.305,30.133,10.726,0,0,MtCO2
2008,105.887,8.294,44.672,37.531,21.611,30.297,14.059,0,0,MtCO2
2009,101.413,10.798,44.258,41.615,21.299,28.499,13.38,0.002,0,MtCO2
2010,102.021,10.741,43.386,48.68,19.853,29.276,13.865,0.006,0,MtCO2
2011,113.263,9.857,44,52.078,19.678,33.004,15.232,0.072,0,MtCO2
2012,115.791,11.117,51.056,54.089,22.859,32.207,11.191,0.112,0,MtCO2
2013,109.269,11.729,57.204,46.478,19.681,30.099,10.644,0.071,0,MtCO2
2014,127.349,11.262,60.932,47.978,20.242,28.061,11.031,0.31,0,MtCO2
2015,119.532,14.297,72.508,50.608,22.942,30.218,8.497,0.365,0,MtCO2
2016,130.021,16.507,79.151,51.053,22.531,31.54,7.682,0.377,0,MtCO2
2017,139.969,18.544,82.843,68.785,24.257,34.783,9.088,0.353,0,MtCO2
2018,144.219,14.82,83.37,72.692,17.794,32.302,9.129,0.372,0,MtCO2
2019,133.75,15.556,83.52,67.081,22.972,33.706,9.474,0.357,0,MtCO2
2020,128.821,13.765,78.856,73.281,25.539,35.665,9.865,0.392,0,MtCO2
2021,143.703,14.556,89.459,81.359,24.517,37.16,9.687,0.343,0,MtCO2
2022,140.511,13.879,90.114,73.867,22.78,38.805,9.671,0.347,0,MtCO2
2023,139.132,13.085,97.217,73.984,20.932,37.954,9.672,0.32,0,MtCO2
