Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Transport Sector,Industry Sector,Commercial and Public Services,Residential,Agriculture/Forestry,Fishing,Non-specified (Other),Units
1990,1176.516,54.87,298.759,251.387,103.255,184.974,48.354,0,45.396,MtCO2
1991,1209.708,51.91,293.1,216.156,106.395,169.648,46.744,0,42.764,MtCO2
1992,1171.151,47.457,280.697,200.205,42.592,163.069,38.546,0,15.611,MtCO2
1993,1057.628,44.078,235.616,174.757,17.376,187.09,31.872,0,51.358,MtCO2
1994,981.96,32.738,207.055,143.165,16.954,165.79,32.381,0,16.336,MtCO2
1995,916.556,41.338,190.937,184.789,14.62,150.412,35.024,0,14.554,MtCO2
1996,941.378,40.66,181.473,162.036,11.941,145.094,24.365,0,14.685,MtCO2
1997,870.35,40.167,166.566,149.279,10.301,142.224,24.001,0,11.885,MtCO2
1998,858.229,49.092,196.4,133.89,9.488,135.601,20.574,0,3.294,MtCO2
1999,866.284,51.208,198.054,142.461,12.016,148.799,20.742,0,3.399,MtCO2
2000,874.522,55.769,189.168,165.569,9.966,152.091,20.262,0,7.028,MtCO2
2001,875.521,53.749,195.638,157.861,9.721,154.136,20.233,0,7.791,MtCO2
2002,877.562,56.379,198.611,159.635,9.346,137.138,15.203,0,11.958,MtCO2
2003,893.201,63.618,207.554,151.767,10.225,140.205,15.966,0,11.34,MtCO2
2004,881.289,61.88,222.184,153.196,9.905,133.959,14.901,0,10.869,MtCO2
2005,887.941,59.899,220.891,154.858,21.8,118.942,14.723,1.608,1.211,MtCO2
2006,931.443,63.32,229.17,152.616,20.936,124.247,14.498,1.452,0,MtCO2
2007,892.348,73.288,230.713,170.969,27.046,121.002,15.913,2.424,0,MtCO2
2008,889.877,71.709,245.304,172.359,28.349,127.437,16.25,2.53,0,MtCO2
2009,827.706,63.773,228.324,166.209,21.915,117.994,12.115,2.578,0.046,MtCO2
2010,891.969,64.044,244.125,178.404,22.723,114.302,10.994,2.587,0.055,MtCO2
2011,956.294,58.875,249.686,183.985,23.794,115.427,14.034,2.568,0.055,MtCO2
2012,947.109,60.632,237.316,226.299,23.137,99.339,11.388,2.586,0.129,MtCO2
2013,908.155,61.237,238.703,223.845,20.154,102.212,11.734,2.29,0.191,MtCO2
2014,841.031,66.344,241.39,247.018,17.392,121.481,14.382,2.352,0.2,MtCO2
2015,810.509,67.971,240.606,249.969,18.499,130.262,13.433,1.64,0.178,MtCO2
2016,775.932,63.331,240.201,259.768,17.658,138.647,12.373,1.731,0.03,MtCO2
2017,773.851,62.137,246.059,262.08,18.101,160.309,12.583,2.037,0.003,MtCO2
2018,810.493,43.08,258.019,249.538,15.472,200.677,12.578,2.334,0.008,MtCO2
2019,787.997,41.058,262.484,275.24,20.706,190.321,11.534,2.19,0.005,MtCO2
2020,755.398,38.849,240.453,267.947,18.899,183.235,11.524,1.895,0.004,MtCO2
2021,836.286,42.408,265.606,284.765,20.845,196.443,12.897,1.872,0.004,MtCO2
2022,836.342,42.02,270.648,280.169,20.583,190.5,14.449,1.912,0.005,MtCO2
2023,877.088,41.691,276.116,279.31,19.886,182.039,13.764,1.928,0.004,MtCO2
