Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Transport Sector,Industry Sector,Commercial and Public Services,Residential,Agriculture/Forestry,Fishing,Non-specified (Other),Units
1990,57.932,13.066,49.403,21.774,6.395,2.541,0,0,0,MtCO2
1991,61.255,13.398,51.471,21.769,6.4,3.011,0,0,0,MtCO2
1992,67.38,13.805,54.529,25.898,6.337,2.706,0,0,0,MtCO2
1993,75.202,13.868,57.435,25.039,6.369,2.907,0,0,0,MtCO2
1994,77.077,14.003,61.237,31.297,6.369,3.02,0,0,0,MtCO2
1995,80.223,14.35,54.128,33.622,6.383,2.944,0,0,0,MtCO2
1996,81.589,16.003,56.87,39.625,6.421,3.017,0,0,0,MtCO2
1997,87.509,15.511,57.718,34.818,7.094,3.064,0,0,0,MtCO2
1998,94.003,16.101,57.907,42.067,6.968,3.155,0,0,0,MtCO2
1999,97.221,15.263,58.133,45.562,6.775,3.189,0,0,0,MtCO2
2000,102.458,14.976,60.941,46.103,6.791,3.345,0,0,0,MtCO2
2001,104.757,15.172,62.715,45.491,6.776,3.374,0,0,0,MtCO2
2002,107.244,18.126,66.414,52.175,7.865,3.49,0,0,0,MtCO2
2003,113.658,18.098,68.679,54.418,7.859,3.625,0,0,0,MtCO2
2004,121.506,18.876,72.17,57.964,7.856,3.733,0,0,0,MtCO2
2005,131.193,19.278,75.751,60.111,7.878,4.037,0,0,0,MtCO2
2006,136.979,20.58,81.858,65.693,7.932,3.947,0,0,0,MtCO2
2007,139.447,18.407,91.258,71.848,9.195,4.134,0,0,0,MtCO2
2008,151.418,20.753,98.531,81.349,8.725,4.347,0,0,0,MtCO2
2009,165.729,16.763,101.55,82.821,9.578,4.382,0,0,0,MtCO2
2010,178.317,19.27,105.398,100.855,11.598,4.411,0,0,0,MtCO2
2011,184.424,18.118,116.537,97.285,12.847,5.129,0,0,0,MtCO2
2012,212.061,20.155,126.807,86.414,13.315,4.626,0,0,0,MtCO2
2013,217.093,20.675,128.904,87.488,12.717,4.282,0,0,0,MtCO2
2014,221.853,28.242,136.723,103.252,12.714,4.157,0,0,0,MtCO2
2015,234.173,26.869,146.938,105.578,13.209,4.623,0,0,0,MtCO2
2016,242.662,28.649,146.449,90.184,14.98,4.861,0,0,0,MtCO2
2017,246.993,29.129,142.909,80.363,17,4.905,0,0,0,MtCO2
2018,231.873,29.991,136.102,77.552,17.451,5.075,0,0,0,MtCO2
2019,237.576,25.164,136.428,77.745,16.122,4.859,0,0,0,MtCO2
2020,241.105,28.025,122.317,78.187,14.493,4.738,0,0,0,MtCO2
2021,249.911,28.366,128.219,77.014,14.201,5.052,0,0,0,MtCO2
2022,261.645,30.823,137.498,83.829,14.2,5.116,0,0,0,MtCO2
2023,263.446,28.604,142.965,77.166,17.305,5.192,0,0,0,MtCO2
