Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Transport Sector,Industry Sector,Commercial and Public Services,Residential,Agriculture/Forestry,Fishing,Non-specified (Other),Units
1990,14.422,8.722,4.066,0.438,1.059,0.184,0,0,0.075,MtCO2
1991,14.075,9.808,4.93,0.416,0.91,0.254,0,0,0.079,MtCO2
1992,15.411,10.054,4.759,0.456,0.564,0.08,0,0,0.084,MtCO2
1993,19.615,10.586,4.721,0.496,0.564,0.086,0,0,0.092,MtCO2
1994,20.528,11.018,5.136,0.539,0.564,0.092,0,0,0.098,MtCO2
1995,20.968,9.877,5.646,0.469,0.426,0.094,0,0,0.098,MtCO2
1996,21.646,10.722,5.106,0.396,0.208,0.336,0,0,0.103,MtCO2
1997,21.164,10.724,5.064,0.374,0.379,0.311,0,0,0.142,MtCO2
1998,20.959,10.051,5.08,0.352,0.14,0.317,0,0,0.145,MtCO2
1999,22.526,9.205,5.137,0.33,0.128,0.324,0,0,0.149,MtCO2
2000,24.363,8.666,5.218,3.255,0.122,0.337,0,0,0.154,MtCO2
2001,24.195,8.452,5.316,3.449,0.134,0.32,0,0,0.16,MtCO2
2002,23.219,8.422,5.288,3.674,0.28,0.256,0,0,0.148,MtCO2
2003,20.943,6.941,5.305,4.363,0.217,0.245,0,0,0.141,MtCO2
2004,20.56,8.232,5.409,4.807,0.241,0.224,0,0,0.143,MtCO2
2005,18.726,6.876,5.593,5.186,0.167,0.206,0,0,0.144,MtCO2
2006,18.745,6.717,5.812,5.428,0.267,0.199,0,0,0.001,MtCO2
2007,19.18,6.793,6.006,5.729,0.381,0.192,0,0,0.001,MtCO2
2008,18.952,6.805,6.124,5.948,0.397,0.193,0,0,0.001,MtCO2
2009,18.343,4.589,6.701,8.577,0.42,0.197,0,0,0.001,MtCO2
2010,20.612,4.621,6.786,9.756,0.436,0.197,0,0,0.001,MtCO2
2011,21.008,5.586,7.247,10.299,0.428,0.194,0,0,0.001,MtCO2
2012,20.349,5.509,7.01,10.2,0.423,0.197,0,0,0.001,MtCO2
2013,19.929,5.119,6.513,11.705,0.443,0.199,0,0,0.001,MtCO2
2014,19.838,4.633,6.73,12.595,0.402,0.196,0,0,0.001,MtCO2
2015,19.943,4.857,7.219,12.797,0.408,0.198,0,0,0.004,MtCO2
2016,20.322,4.992,7.404,11.638,0.407,0.197,0,0,0.005,MtCO2
2017,20.69,5.36,6.637,14.037,0.394,0.198,0,0,0.005,MtCO2
2018,20.493,5.302,6.384,12.301,0.39,0.201,0,0,0.008,MtCO2
2019,20.856,4.97,6.298,12.385,0.38,0.196,0,0,0.007,MtCO2
2020,20.506,4.144,6.175,12.281,0.357,0.223,0,0,0.006,MtCO2
2021,21.535,4.278,6.141,12.979,0.38,0.22,0,0,0.002,MtCO2
2022,21.727,4.207,6.019,13.204,0.394,0.208,0,0,0.004,MtCO2
2023,21.835,4.101,5.842,13.052,0.408,0.203,0,0,0.007,MtCO2
