Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Transport Sector,Industry Sector,Commercial and Public Services,Residential,Agriculture/Forestry,Fishing,Non-specified (Other),Units
1990,12.768,0.848,11.289,26.639,0,0.304,0,0,0,Mt CO2
1991,12.971,0.912,11.618,33.345,0,0.286,0,0,0,Mt CO2
1992,13.97,0.917,11.806,29.578,0,0.268,0,0,0,Mt CO2
1993,16.244,0.897,12.603,29.584,0,0.259,0,0,0,Mt CO2
1994,17.745,1.088,12.484,33.951,0,0.286,0,0,0,Mt CO2
1995,18.524,1.625,13.105,36.061,0,0.286,0,0,0,Mt CO2
1996,19.774,1.698,13.267,37.715,0,0.247,0,0,0,Mt CO2
1997,21.403,1.809,13.203,39.906,0,0.262,0,0,0,Mt CO2
1998,23.848,1.681,13.186,39.358,0,0.262,0,0,0,Mt CO2
1999,26.42,1.716,13.569,38.65,0,0.268,0,0,0,Mt CO2
2000,29.257,1.725,14.851,33.675,0,0.322,0,0,0,Mt CO2
2001,32.4,1.948,16.283,41.603,0,0.468,0,0,0,Mt CO2
2002,36.007,1.959,18.769,37.815,0,0.116,0,0,0,Mt CO2
2003,40.023,1.943,20.863,35.936,0,0.122,0,0,0,Mt CO2
2004,48.13,1.893,21.067,33.892,0,0.128,0,0,0,Mt CO2
2005,51.481,1.935,22.747,34.942,0,0.131,0,0,0,Mt CO2
2006,55.048,1.959,23.923,34.092,0,0.131,0,0,0,Mt CO2
2007,55.121,1.957,24.586,42.455,0,0.17,0,0,0,Mt CO2
2008,66.352,1.913,26.162,51.865,0,0.298,0,0,0,Mt CO2
2009,57.489,1.866,28.794,59.941,0,0.486,0,0,0,Mt CO2
2010,58.746,2.164,30.055,63.146,0,0.546,0,0,0,Mt CO2
2011,60.034,2.141,30.084,66.292,0,0.674,0,0,0,Mt CO2
2012,62.288,2.097,30.761,72.028,0,0.549,0,0,0,Mt CO2
2013,62.594,2.077,34.671,76.059,0,0.874,0,0,0,Mt CO2
2014,65.623,2.214,35.577,72.597,0,0.88,0,0,0,Mt CO2
2015,69.897,2.448,30.881,81.28,0,0.97,0,0,0,Mt CO2
2016,70.084,2.524,34.629,83.724,0,1.017,0,0,0,Mt CO2
2017,71.705,2.435,37.66,70.296,0,1.007,0,0,0,Mt CO2
2018,70.673,2.552,37.669,53.65,0,0.803,0,0,0,Mt CO2
2019,69.861,2.513,35.778,68.363,0,0.568,0,0,0,Mt CO2
2020,68.469,2.236,30.709,73.439,0,0.513,0,0,0,Mt CO2
2021,70.665,2.507,34.021,70.998,0,0.578,0,0,0,Mt CO2
2022,65.111,2.352,35.588,69.976,,0.613,,,,Mt CO2
