Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Transport Sector,Industry Sector,Commercial and Public Services,Residential,Agriculture/Forestry,Fishing,Non-specified (Other),Units
1990,1900.583,259.206,1426.972,604.444,219.405,326.07,43.559,0,22.758,Mt CO2
1991,1929.906,250.002,1399.668,566.876,218.121,337.059,43.481,0,20.572,Mt CO2
1992,2021.377,255.587,1430.661,517.639,217.63,347.431,47.367,0,0,Mt CO2
1993,2079.39,256.128,1454.185,532.421,218.734,366.838,45,0,0,Mt CO2
1994,2108.521,252.178,1506.895,534.852,217.893,357.954,45.769,0,0,Mt CO2
1995,2167.459,255.971,1537.755,486.801,220.68,359.361,45.808,0,0,Mt CO2
1996,2241.453,262.589,1577.193,485.924,230.526,385.845,46.946,0,0,Mt CO2
1997,2481.21,261.29,1602.129,506.729,225.744,374.318,47.408,0,0,Mt CO2
1998,2535.605,264.541,1640.359,512.742,210.9,337.673,43.564,0,0,Mt CO2
1999,2515.821,253.828,1686.177,499.362,211.151,356.202,40.031,0,1.245,Mt CO2
2000,2541.64,259.746,1717.848,567.124,226.391,372.728,42.51,0,1.829,Mt CO2
2001,2560.424,252.35,1720.037,540.01,220.946,360.745,46.761,0,0.829,Mt CO2
2002,2395.69,284.061,1741.641,490.815,226.384,356.479,50.339,0,0,Mt CO2
2003,2422.689,284.997,1766.754,485.416,234.236,371.501,45.09,0,0,Mt CO2
2004,2461.662,280.394,1788.666,511.673,233.822,356.454,56.028,0,0,Mt CO2
2005,2522.865,268.344,1807.722,477.325,222.144,349.783,54.968,0,0,Mt CO2
2006,2445.522,277.434,1806.017,495.815,206.155,311.37,60.079,0,0,Mt CO2
2007,2511.065,278.428,1806.366,486.01,215.442,333.559,55.795,0,0,Mt CO2
2008,2445.466,274.124,1708.274,474.767,220.353,335.889,53.572,0,0,Mt CO2
2009,2227.476,261.637,1622.547,407.538,224.2,327.157,50.069,0,0,Mt CO2
2010,2345.963,263.593,1679.773,466.325,221.244,323.809,51.34,0,0,Mt CO2
2011,2245.85,242.815,1633.59,435.692,214.906,307.3,47.949,0,0,Mt CO2
2012,2116.719,243.477,1597.531,438.572,191.548,268.995,46.095,0,0,Mt CO2
2013,2128.418,250.122,1646.937,434.886,212.347,315.662,50.15,0,0,Mt CO2
2014,2125.528,250.662,1639.845,437.256,220.527,324.552,48.19,0,0,Mt CO2
2015,1984.66,249.355,1700.046,433.884,211.557,300.985,48.12,0,0,Mt CO2
2016,1893.664,251.85,1711.218,439.023,214.653,281.815,46.25,0,0,Mt CO2
2017,1822.796,241.718,1724.017,429.405,211.638,286.264,45.46,0,0,Mt CO2
2018,1846.038,251.115,1762.235,454.061,229.975,320.704,46.246,0,0,Mt CO2
2019,1699.599,259.037,1757.344,439.052,229.345,321.241,39.191,0,0,Mt CO2
2020,1524.902,240.132,1507.915,437.455,211.222,299.711,36.288,0,0,Mt CO2
2021,1627.203,250.795,1663.678,445.756,221.052,303.053,37.72,0,0,Mt CO2
2022,1609.773,252.696,1699.428,455.423,233.87,317.883,38.517,,,Mt CO2
