Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Transport Sector,Industry Sector,Commercial and Public Services,Residential,Agriculture/Forestry,Fishing,Non-specified (Other),Units
1990,7636.068,981.175,4617.798,3953.606,760.706,1833.528,398.042,18.698,335.136,Mt CO2
1991,7782.821,976.743,4655.593,3875.354,769.772,1851.124,401.57,19.292,331.638,Mt CO2
1992,7918.273,997.547,4761.396,3746.082,696.995,1816.785,383.48,20.112,265.741,Mt CO2
1993,7938.744,1027.274,4803.181,3694.718,693.194,1879.694,378.373,18.749,287.231,Mt CO2
1994,8018.297,1048.507,4899.853,3707.52,694.61,1797.893,385.197,18.906,250.577,Mt CO2
1995,8175.413,1081.62,5034.312,3930.348,710.438,1856.962,401.839,18.691,186.078,Mt CO2
1996,8517.873,1103.588,5240.377,3812.961,760.746,1874.706,365.268,19.651,150.942,Mt CO2
1997,8738.205,1156.831,5316.627,3836.755,736.122,1875.507,408.092,19.208,155.634,Mt CO2
1998,8918.611,1202.62,5440.815,3834.394,701.548,1760.339,402.386,17.918,139.593,Mt CO2
1999,8997.234,1188.055,5602.371,3676.376,732.911,1798.781,403.406,17.213,148.424,Mt CO2
2000,9372.051,1213.326,5780.142,3831.978,695.686,1829.092,337.118,18.803,156.704,Mt CO2
2001,9580.187,1262.329,5809.298,3854.139,706.322,1842.191,342.4,19.168,163.065,Mt CO2
2002,9712.424,1314.715,5961.327,3865.782,718.864,1828.224,343.556,18.949,163.33,Mt CO2
2003,10264.847,1378.348,6086.479,4056.409,754.138,1877.134,346.313,23.043,175.052,Mt CO2
2004,10637.413,1389.349,6368.703,4481.468,773.477,1899.273,375.125,23.275,180.317,Mt CO2
2005,10982.673,1417.306,6509.816,4899.69,773.842,1898.59,400.026,23.888,179.454,Mt CO2
2006,11423.83,1477.747,6661.307,5133.586,764.253,1877.03,403.776,22.046,187.377,Mt CO2
2007,11920.076,1542.204,6869.602,5412.751,779.517,1860.486,401.041,22.299,191.708,Mt CO2
2008,11924.442,1564.111,6873.746,5519.497,814.561,1891.204,397.119,20.437,217.614,Mt CO2
2009,11730.378,1543.467,6733.929,5509.251,796.754,1857.972,386,21.679,188.791,Mt CO2
2010,12519.31,1656.774,7021.059,6067.115,812.227,1897.684,397.379,22.597,188.793,Mt CO2
2011,13127.987,1666.213,7134.358,6295.397,803.407,1853.283,406.576,21.365,176.374,Mt CO2
2012,13408.183,1680.793,7191.592,6318.526,791.381,1808.681,405.041,21.679,188.597,Mt CO2
2013,13661.85,1719.63,7376.71,6320.659,831.023,1879.239,410.826,21.306,194.952,Mt CO2
2014,13723.172,1602.126,7499.217,6388.955,806.186,1850.757,409.47,21.286,191.866,Mt CO2
2015,13423.664,1636.44,7731.709,6272.649,815.454,1873.248,411.3,21.18,188.241,Mt CO2
2016,13475.72,1590.763,7883.338,6115.875,816.748,1903.58,413.271,20.003,186.005,Mt CO2
2017,13788.163,1622.251,8076.09,6037.794,821.587,1964.758,428.02,20.788,175.527,Mt CO2
2018,14213.98,1614.812,8266.901,6164.745,821.931,1996.95,424.035,21.449,163.939,Mt CO2
2019,14101.264,1669.092,8283.867,6205.922,820.641,1960.41,410.37,21.88,152.226,Mt CO2
2020,13688.151,1563.842,7093.948,6160.596,777.811,1956.304,398.6,21.629,151.667,Mt CO2
2021,14769.194,1601.056,7649.086,6306.658,797.055,1978.504,408.878,21.294,142.238,Mt CO2
2022,14945.853,1663.192,7941,6261.147,779.166,1938.667,410.224,20.384,157.145,Mt CO2
