Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal and coal products,Primary oil,Oil products,Natural gas,"Solar, wind and other renewables",Biofuels and waste,Electricity,Heat,Units
1990,190791,187,1213925,362377,3404,136191,465170,,TJ
1991,194376,,1181902,364691,3379,135061,474177,,TJ
1992,194720,85,1204166,371667,3358,122788,478634,0,TJ
1993,198781,127,1236888,380690,3344,150633,492746,0,TJ
1994,197686,127,1267220,398294,3335,146241,506080,0,TJ
1995,195453,135,1314429,418300,3331,154015,521564,0,TJ
1996,186463,,1360980,424646,3332,176436,536252,0,TJ
1997,196907,,1379272,431740,3343,184412,553935,0,TJ
1998,188791,,1386121,445654,3359,178784,587462,0,TJ
1999,184139,,1406189,455348,3384,177988,606621,0,TJ
2000,175846,,1453500,476844,3417,181752,621896,0,TJ
2001,165416,,1438847,503116,3617,180038,649432,0,TJ
2002,125943,,1417203,494640,3670,190811,688021,0,TJ
2003,144840,129,1479100,529306,2775,145331,665769,0,TJ
2004,151394,129,1525625,539122,2616,137087,681541,0,TJ
2005,163074,692,1529762,516239,2623,130661,681220,0,TJ
2006,149013,692,1556300,516258,2431,132316,693460,0,TJ
2007,148790,735,1583207,536283,6000,139270,725605,0,TJ
2008,153221,692,1618517,538882,6667,140831,728503,0,TJ
2009,142824,649,1601206,505986,8244,151323,754832,0,TJ
2010,106261,562,1652791,515150,10484,174290,763118,0,TJ
2011,104481,607,1726080,522032,11656,170142,769653,0,TJ
2012,101416,629,1783767,522341,12381,170994,760863,0,TJ
2013,98488,603,1801320,544487,13141,182528,760623,0,TJ
2014,102469,616,1804305,558914,13228,174456,755072,0,TJ
2015,98101,632,1750497,550275,14842,181929,768221,0,TJ
2016,113289,614,1769666,521701,14871,177728,773587,0,TJ
2017,112382,618,1789217,519858,15698,191285,766870,0,TJ
2018,121701,659,1836032,520937,16699,177884,774410,0,TJ
2019,119876,627,1811953,510177,17600,169370,779464,0,TJ
2020,111840,,1715925,519686,18399,160134,779966,0,TJ
2021,113331,,1708360,529376,19600,164878,778489,0,TJ
2022,113070,,1707348,525233,21399,164044,795026,0,TJ
2023,106452,,1800315,506141,23500,171780,807757,0,TJ
