Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal and coal products,Oil products,Natural gas,"Solar, wind and other renewables",Biofuels and waste,Electricity,Units
1990,153568,2238056,106397,671,1410648,758952,TJ
1991,181887,2269237,111078,774,1384930,783345,TJ
1992,166008,2332079,114426,882,1390245,801367,TJ
1993,174594,2417853,120473,991,1384825,839624,TJ
1994,183093,2550579,124765,1109,1464402,871340,TJ
1995,186410,2742410,131551,1240,1429842,923421,TJ
1996,200837,2938612,147879,1391,1432584,967186,TJ
1997,210969,3162870,160349,1573,1451613,1027962,TJ
1998,203483,3279151,162930,1786,1499378,1070647,TJ
1999,206432,3308985,173604,2034,1577302,1099184,TJ
2000,239549,3352059,214630,2325,1477295,1156172,TJ
2001,221326,3331445,254976,3169,1529704,1074870,TJ
2002,236660,3284530,316015,4277,1665367,1125828,TJ
2003,244476,3175456,335404,5140,1777004,1188734,TJ
2004,265813,3289803,386749,6122,1904040,1248285,TJ
2005,231790,3307914,425311,7203,1957520,1301976,TJ
2006,225385,3377737,455697,8340,2048700,1351364,TJ
2007,252360,3522137,489026,9626,2206223,1421499,TJ
2008,253858,3624448,490939,10968,2337429,1475481,TJ
2009,205072,3583157,424229,12311,2330127,1466175,TJ
2010,307194,3923468,564588,13909,2477814,1576303,TJ
2011,348514,4191363,563802,15611,2381722,1647345,TJ
2012,334112,4430454,562269,17594,2380807,1702555,TJ
2013,318949,4510861,567156,19902,2428064,1753801,TJ
2014,316420,4575435,553862,22488,2478699,1808110,TJ
2015,323095,4308552,538610,25103,2584912,1777219,TJ
2016,279370,4235490,528475,27601,2574697,1771682,TJ
2017,322419,4276522,528181,29848,2633035,1796317,TJ
2018,333469,4031487,568521,31927,2644171,1828126,TJ
2019,303744,4090553,521656,34040,2718692,1850004,TJ
2020,284363,3863648,450409,36289,2881079,1835939,TJ
2021,327438,4164737,518020,38938,2778001,1917306,TJ
2022,337629,4406123,569139,41876,2870317,1983389,TJ
2023,323149,4495910,500564,44942,3122999,2087242,TJ
2024,332187,4467888,479631,48233,3281540,2208016,TJ
