Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal,Oil products,Natural gas,Biofuels and waste,Electricity,Heat,"Wind, solar, etc.",Units
1990,134085,2740424,1813439,416229,1504947,26584,,TJ
1991,144533,2630130,1847605,413929,1519185,30799,,TJ
1992,143254,2687478,1919037,412607,1522393,22942,,TJ
1993,139324,2750541,2002707,413041,1554267,16795,,TJ
1994,135409,2857050,2072565,469967,1574704,23129,,TJ
1995,143889,2891791,2125266,485846,1607997,29655,,TJ
1996,143284,3009053,2260021,456084,1631059,28334,,TJ
1997,141063,3115253,2237536,443638,1651953,24834,,TJ
1998,141638,3066668,2084451,471151,1641520,28727,,TJ
1999,143716,3206666,2149937,489240,1677243,33070,,TJ
2000,152198,3196016,2236857,432701,1551283,33980,,TJ
2001,141029,3182099,2042448,387680,1565712,35713,0,TJ
2002,137559,3358399,2171538,420129,1629352,35933,0,TJ
2003,141860,3546141,2223696,429596,1662555,39353,0,TJ
2004,153238,3594824,2201390,482708,1660165,39133,0,TJ
2005,157783,3624102,1955186,464067,1758816,38333,0,TJ
2006,166645,3620848,1870306,442590,1720612,36445,0,TJ
2007,155219,3743068,1938970,465197,1760587,34170,0,TJ
2008,145435,3691392,1893547,434183,1747954,32569,0,TJ
2009,125014,3534780,1806146,415271,1703185,37164,0,TJ
2010,135724,3747126,1767626,397335,1720544,18342,1539,TJ
2011,157757,3797141,1925640,409371,1752854,26179,1769,TJ
2012,147690,3837857,1868598,406952,1732769,27769,1553,TJ
2013,130900,3765279,1974593,443923,1779710,27562,1630,TJ
2014,123970,3690632,2049991,462784,1807246,35687,1702,TJ
2015,111305,3756020,2005030,432762,1803992,27936,1760,TJ
2016,106825,3803490,2050689,414601,1786676,28954,1760,TJ
2017,114771,3783590,2106950,448721,1856692,28510,1797,TJ
2018,110728,3854696,2211667,447391,1901386,25517,1810,TJ
2019,103864,3866986,2182637,433973,1903827,22271,1810,TJ
2020,90313,3401793,2089872,391307,1865285,23508,1781,TJ
2021,88872,3507552,2083601,415034,1889801,25114,1448,TJ
2022,83247,3604200,2203537,440035,1918965,25002,1397,TJ
2023,80902,3623017,2125172,424576,1907647,25753,1397,TJ
