Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal,Oil products,Natural gas,"Wind, solar, etc.",Biofuels and waste,Electricity,Heat,Crude oil,Units
1990,262327,3145272,1001736,5639,404560,1088027,19996,,TJ
1991,249575,3324402,1136396,5654,468543,1156903,21981,,TJ
1992,241325,3341235,1150951,6292,453912,1189177,21915,,TJ
1993,182978,3259445,1156775,6151,437203,1197352,21806,,TJ
1994,183935,3229302,1149747,6303,393496,1214974,21907,,TJ
1995,184034,3302596,1171531,6558,407904,1234259,23047,,TJ
1996,191119,3341503,1294938,6403,441090,1281002,24928,,TJ
1997,188149,3348743,1280980,6288,404480,1279648,23021,,TJ
1998,171107,3399475,1312226,6214,403610,1322773,23507,,TJ
1999,145603,3384063,1362510,6093,384677,1349852,23774,,TJ
2000,141253,3370779,1345934,6141,375869,1385650,135470,,TJ
2001,131050,3485941,1378481,6201,382983,1424797,164185,,TJ
2002,113356,3432489,1354813,6199,364932,1416549,171009,,TJ
2003,116120,3431830,1421041,6279,388293,1470240,165852,,TJ
2004,113488,3426814,1443247,6360,393410,1512576,168200,,TJ
2005,126579,3357966,1446770,1945,385361,1521975,174303,,TJ
2006,128412,3345373,1398232,2249,349717,1536930,163749,,TJ
2007,139368,3261070,1339940,2581,376729,1533654,139576,,TJ
2008,131384,3161073,1383989,3002,429228,1557849,152352,,TJ
2009,100153,3040596,1301412,3322,454048,1504637,133864,,TJ
2010,112852,2984055,1381555,3604,489055,1598720,119305,,TJ
2011,111149,3033628,1302813,6460,444408,1528171,120694,,TJ
2012,99349,3001069,1383015,7371,500140,1597670,127560,,TJ
2013,103221,2988502,1437443,7802,533381,1623306,132292,,TJ
2014,102849,2922981,1214541,8125,481309,1531447,116566,,TJ
2015,95409,2925251,1247416,8499,502180,1566113,129680,,TJ
2016,106697,2870915,1307829,8915,533523,1593876,145062,,TJ
2017,84933,2900711,1274396,9209,528959,1581715,150406,,TJ
2018,62486,2801849,1256623,9858,530411,1573568,147874,,TJ
2019,51033,2782438,1225851,10356,535304,1554137,155271,,TJ
2020,45242,2469342,1147307,10713,482035,1480893,150373,,TJ
2021,125140,2697798,1247674,11092,533475,1558214,172954,1008,TJ
2022,107879,2592269,1069354,11543,517712,1493935,165925,252,TJ
2023,102147,2495483,981570,11904,527840,1431428,150501,,TJ
