Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal and coal products,Oil products,Natural gas,"Solar, wind and other renewables",Biofuels and waste,Electricity,Heat,Units
1990,1643187,4656264,1635498,468,124485,1638284,383113,TJ
1991,1132310,4944676,1749666,612,118532,1639162,377956,TJ
1992,850403,4984443,1788325,792,110993,1623333,355945,TJ
1993,709565,5061999,1887373,1008,111814,1605837,354685,TJ
1994,631127,4981597,1937500,1295,112712,1596862,348800,TJ
1995,569159,5001155,2093373,1584,112607,1624352,366199,TJ
1996,539516,5104563,2347002,1980,113899,1650088,378073,TJ
1997,498252,5072787,2257744,2483,171227,1662217,344013,TJ
1998,433029,5067962,2261827,2988,182756,1678057,349164,TJ
1999,388172,4890395,2273778,3923,181093,1704531,343610,TJ
2000,375217,4776424,2308221,4643,197511,1740430,285985,TJ
2001,353725,4863676,2348073,5831,212092,1782961,290599,TJ
2002,334421,4679454,2347307,6875,226220,1830628,286252,TJ
2003,351474,4558948,2318114,10691,321916,1853640,428370,TJ
2004,312109,4456970,2341242,10848,361511,1877824,448684,TJ
2005,285384,4354649,2306344,12689,413724,1880647,446002,TJ
2006,322160,4358157,2340555,14518,519352,1901271,445022,TJ
2007,297149,3849930,2243285,15918,582196,1906297,427028,TJ
2008,287569,4119590,2293217,17853,597930,1899917,435936,TJ
2009,248939,3909089,2128923,20913,575608,1790895,427612,TJ
2010,300515,3963502,2360722,22385,675158,1915221,471764,TJ
2011,327820,3846773,2114611,25547,628770,1889557,420182,TJ
2012,302882,3845271,2192065,26701,682273,1888286,429143,TJ
2013,295540,3939658,2313425,27011,693156,1880316,434815,TJ
2014,284197,3856019,2091580,29415,628565,1842325,383044,TJ
2015,318210,3854551,2163502,30597,626961,1853812,401676,TJ
2016,304308,3860795,2304366,31018,619610,1863194,409507,TJ
2017,299884,3940103,2317550,31829,631335,1868230,410565,TJ
2018,279021,3733547,2387226,35500,657136,1833818,400584,TJ
2019,257672,3807619,2336038,33915,663696,1787453,403505,TJ
2020,256513,3616202,2299040,35441,679582,1736017,374324,TJ
2021,238835,3506375,2513499,34679,710148,1799055,411757,TJ
2022,257910,3439498,2156139,38858,731269,1717920,373291,TJ
2023,244690,3224140,2021601,36736,660123,1632908,356453,TJ
