Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal,Oil products,Natural gas,"Wind, solar, etc.",Biofuels and waste,Electricity,Units
1990,1601122,2100377,255051,321,4280985,762357,TJ
1991,1688426,2182470,260078,510,4356016,835318,TJ
1992,1667101,2257756,320089,618,4393951,890812,TJ
1993,1578335,2343143,321649,710,4468420,958125,TJ
1994,1665349,2546227,342450,806,4567160,1042448,TJ
1995,1527838,2874422,369770,879,4609661,1114801,TJ
1996,1518606,3042323,384087,980,4726185,1134162,TJ
1997,1654819,3217494,444790,1022,4799768,1203771,TJ
1998,1468441,3406008,446630,1351,4853404,1263787,TJ
1999,1461265,3654348,458714,1410,4917061,1294473,TJ
2000,1387786,3955266,512706,1480,4984555,1323327,TJ
2001,1383547,3892068,496322,1613,5054284,1344045,TJ
2002,1520096,4046642,518373,1722,5073824,1432339,TJ
2003,1464276,4185348,549346,2152,5121065,1522767,TJ
2004,1631981,4339620,558016,2690,5203440,1621407,TJ
2005,1843056,4444955,600977,4036,5310477,1735826,TJ
2006,1984456,4758263,637639,4844,5421345,1932361,TJ
2007,2199918,5139902,703426,6943,5519059,2095956,TJ
2008,2796514,5389548,715795,6987,5591878,2210677,TJ
2009,2892076,5598563,754898,9342,5626586,2374095,TJ
2010,3494376,5782577,810188,12228,5747786,2584144,TJ
2011,3805818,6090342,1025224,14727,5781162,2786652,TJ
2012,3656067,6427008,1101115,19521,5923984,2963944,TJ
2013,3870021,6475575,1114285,18703,6106634,3099974,TJ
2014,4141868,6768361,1101686,23166,6238036,3472390,TJ
2015,4020206,7519540,1124953,27742,6420922,3665995,TJ
2016,3927552,7895988,1196846,29634,6528882,3898569,TJ
2017,4162872,8356902,1208087,35568,6720886,4121110,TJ
2018,4323756,8662390,1224053,41945,7021852,4421533,TJ
2019,4095098,8712537,1327023,46269,7082372,4557271,TJ
2020,3956142,8101336,1316195,51897,7291589,4189791,TJ
2021,4547893,8351341,1622398,58129,7537973,4514276,TJ
2022,4741678,9142154,1648095,60285,7764987,5167032,TJ
2023,5215116,9361142,1907198,67051,7943638,5668048,TJ
