Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal and coal products,Primary oil,Oil products,Natural gas,Biofuels and waste,Electricity,"Solar, wind and other renewables",Units
1990,61881,90232,1050407,252239,831587,101836,,TJ
1991,67563,113782,1098629,250452,841980,113335,,TJ
1992,72705,108790,1165777,265991,850217,125870,,TJ
1993,77301,122954,1251521,277364,859055,140259,,TJ
1994,82792,97399,1378787,312601,863256,160808,,TJ
1995,89491,56955,1591564,302822,865173,179096,,TJ
1996,83149,144030,1711738,317771,866553,204955,,TJ
1997,86946,120565,1790612,351474,859490,232070,,TJ
1998,95546,65956,1743358,318111,848541,234939,,TJ
1999,143523,70564,1900214,434504,842099,256805,,TJ
2000,190735,85411,1922595,483962,843750,284990,,TJ
2001,195768,84131,1994806,516371,816794,304272,,TJ
2002,204434,77305,1934726,541449,796027,313509,,TJ
2003,359087,82680,1946213,522706,780960,325587,,TJ
2004,291427,67407,2164423,562499,755266,360349,,TJ
2005,346373,81870,2093530,570688,732327,387737,,TJ
2006,468970,117152,2014061,640962,747673,408294,,TJ
2007,640546,121248,2036196,461914,721836,437810,,TJ
2008,395004,102007,2076426,514855,712437,463716,,TJ
2009,435252,112758,2149945,645612,685002,489790,,TJ
2010,248381,147059,2153802,664133,677388,556443,,TJ
2011,257430,26109,2564485,705727,666554,595627,,TJ
2012,268466,110326,2904378,730928,636442,653003,,TJ
2013,309811,41937,2931828,791383,624666,703322,,TJ
2014,267400,44796,2943683,691631,628686,751511,,TJ
2015,290178,45649,2883103,701148,543867,776499,,TJ
2016,348935,54267,2644348,677194,577778,829823,,TJ
2017,398689,50206,2810924,731699,529527,875128,,TJ
2018,493011,54281,2951199,801138,551902,1051007,,TJ
2019,549263,103955,2880525,775607,625542,1083906,,TJ
2020,521555,87194,2567820,730878,733192,1134537,,TJ
2021,535271,80171,2603685,784638,764637,1211632,,TJ
2022,622683,67012,2845717,773496,788663,1351882,5750,TJ
2023,723422,24704,2806870,848636,838479,1482311,11740,TJ
