Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal and coal products,Primary oil,Oil products,Natural gas,Biofuels and waste,Electricity,Units
1990,7395,81205,1626084,391652,7450,177526,TJ
1991,9946,96688,1741720,512442,7950,192927,TJ
1992,8649,121275,1926092,571529,9046,204994,TJ
1993,12775,64189,1889228,626551,9955,222379,TJ
1994,13206,70613,2060219,815661,11390,234698,TJ
1995,11861,64189,1973532,962478,10665,243201,TJ
1996,13608,64189,2086159,918203,11011,264369,TJ
1997,13362,92435,2149720,1000130,8961,278301,TJ
1998,15468,96306,2220051,980613,7138,292197,TJ
1999,11739,,2275830,1148508,6337,317646,TJ
2000,13863,,2385603,1223423,5911,340009,TJ
2001,12444,,2493679,1275711,5706,363747,TJ
2002,11535,,2476876,1436955,5898,392256,TJ
2003,14177,,2524300,1572662,5610,430988,TJ
2004,17741,,2625234,1813609,5679,465145,TJ
2005,25385,,2820169,1952226,26289,487670,TJ
2006,23878,,3043133,2257961,27027,528613,TJ
2007,25669,,3089044,2662807,28584,556487,TJ
2008,15300,,3080911,2686102,28634,591465,TJ
2009,11876,,3119941,2935731,27283,619923,TJ
2010,11007,,2725260,3164926,27276,669812,TJ
2011,13719,,2401486,3681870,22975,682048,TJ
2012,12593,,2552842,3565026,22727,717847,TJ
2013,19843,,2615727,3740718,22729,737121,TJ
2014,17660,,2900195,3933113,22824,797079,TJ
2015,24981,,2720198,3989876,22794,759877,TJ
2016,24545,,2547006,4263136,22617,867438,TJ
2017,29231,,2703895,4309948,22681,926137,TJ
2018,33005,,2803103,4154299,22501,931397,TJ
2019,33051,,2791317,5015183,22463,986686,TJ
2020,32880,,2603008,5389916,23116,1034502,TJ
2021,43974,,2716969,5314606,23117,1092482,TJ
2022,47011,,2895115,5312706,23367,1137518,TJ
2023,48130,,2819514,5640713,23725,1194904,TJ
