Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal,Crude oil,Oil products,Natural gas,"Wind, solar, etc.",Biofuels and waste,Electricity,Heat,Units
1990,1133494,20911,7535963,569854,54135,102931,2753319,8361,TJ
1991,1120212,19958,7654562,614304,56453,102421,2836676,9801,TJ
1992,1079816,28856,7763790,644727,56985,99065,2863867,10780,TJ
1993,1053618,26711,7854882,690453,57186,92634,2888512,11891,TJ
1994,1015502,32243,8095847,704390,58285,91435,3077048,14530,TJ
1995,1030662,43696,8428851,761471,60777,93682,3138138,15822,TJ
1996,1009788,45570,8519673,786328,60364,114874,3209151,16861,TJ
1997,985436,59178,8497631,805210,57260,123269,3246176,18488,TJ
1998,853250,69811,8346443,810942,51998,114312,3279975,19971,TJ
1999,825197,65221,8625524,854535,47287,120514,3354940,21333,TJ
2000,874324,60858,8552406,892770,43185,129080,3501643,22648,TJ
2001,856829,42032,8473245,893375,35340,119125,3442769,22599,TJ
2002,872221,59666,8493389,944359,33342,182631,3505620,23163,TJ
2003,909820,61155,8337558,973551,31229,186557,3483330,22958,TJ
2004,910840,57399,8347215,1028305,29661,202784,3603860,24902,TJ
2005,952145,44289,8195889,1102650,28333,211896,3689452,25071,TJ
2006,964423,21978,7956395,1221777,26891,220656,3704853,24168,TJ
2007,988797,15629,7631119,1296749,25703,244061,3820742,25071,TJ
2008,930206,14867,6980536,1244024,24678,225784,3678557,24030,TJ
2009,855489,18344,6978598,1182693,23373,216193,3560105,22996,TJ
2010,956865,22010,6941406,1213228,21997,234929,3727506,24417,TJ
2011,955702,17611,6784025,1248883,20630,247193,3587725,21958,TJ
2012,951383,17875,6675415,1228900,19734,245012,3569189,22471,TJ
2013,950973,14016,6753012,1206636,18389,260050,3562420,22901,TJ
2014,924120,11195,6492776,1191808,17187,244547,3505177,21611,TJ
2015,908275,12396,6441220,1201966,16147,247629,3418169,21308,TJ
2016,882594,4855,6306019,1185632,15315,253024,3422530,27801,TJ
2017,909139,11506,6309839,1238704,14555,261532,3472631,28209,TJ
2018,887604,4002,6129566,1217649,13813,267701,3404050,29154,TJ
2019,867079,1928,5985767,1223681,13103,263215,3337699,28662,TJ
2020,787113,51,5551823,1127856,12430,247165,3288355,28563,TJ
2021,795308,3994,5490294,1181148,11827,267103,3325429,28141,TJ
2022,748629,1625,5348785,1133941,11328,268180,3247259,29315,TJ
2023,701159,7,5194558,1090090,10823,264574,3165121,30474,TJ
