Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal,Oil products,Natural gas,"Wind, solar, etc.",Biofuels and waste,Electricity,Heat,Units
1990,496533,1827976,37617,417,30519,339782,,TJ
1991,477948,2128002,57500,476,27281,375746,,TJ
1992,418601,2545644,83049,528,29205,414881,,TJ
1993,395232,2828129,113114,592,30532,459838,9,TJ
1994,360629,3030739,151375,704,28440,527544,19556,TJ
1995,333916,3246507,204819,924,38021,587771,32116,TJ
1996,296478,3399037,259799,1340,31498,656892,35142,TJ
1997,303099,3561139,301518,1906,36806,722818,35500,TJ
1998,259332,3093398,314594,1839,38953,696491,31901,TJ
1999,265832,3391338,392868,1762,42546,771173,42843,TJ
2000,345657,3344254,470712,1745,53332,947239,137836,TJ
2001,365242,3327680,490388,1555,52780,1013659,135691,TJ
2002,392533,3435974,539589,1461,54608,1082829,139675,TJ
2003,423789,3453418,571335,1394,63769,1145023,136452,TJ
2004,407477,3347840,601069,1568,70094,1216576,181822,TJ
2005,419552,3334258,667679,1561,75243,1287457,188266,TJ
2006,414840,3291060,679972,1642,85549,1336874,184429,TJ
2007,453887,3383543,711296,1694,94284,1408276,192190,TJ
2008,484966,3255982,750754,1832,102450,1438549,197693,TJ
2009,452917,3336677,763600,2209,103304,1460516,185754,TJ
2010,533060,3427542,862089,2625,111464,1617642,181381,TJ
2011,555997,3436545,902337,3149,115832,1694206,188289,TJ
2012,493575,3533376,940290,3832,128648,1733058,178914,TJ
2013,456073,3542727,956050,4806,141300,1753650,178194,TJ
2014,450751,3622936,823493,5734,171940,1752602,190844,TJ
2015,499521,3780804,817983,6847,187891,1783119,182715,TJ
2016,432076,3938993,837566,7977,177429,1862175,199309,TJ
2017,411834,4075281,887018,9371,198630,1883654,240381,TJ
2018,446416,3962835,918494,10610,178133,1912944,248882,TJ
2019,389643,4082244,901602,11256,156786,1885735,247254,TJ
2020,364323,3882268,909922,11900,156196,1845700,251040,TJ
2021,389010,4073870,945469,12635,150115,1929463,261477,TJ
2022,366219,3903514,957463,13262,149339,1950218,248164,TJ
2023,336930,3703245,901006,13271,149977,1926045,254072,TJ
