Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal and coal products,Oil products,Natural gas,"Solar, wind and other renewables",Biofuels and waste,Electricity,Units
1990,45506,2172949,582454,727,358131,360698,TJ
1991,37318,2284176,617773,776,341208,357786,TJ
1992,34309,2307768,598349,843,338834,369831,TJ
1993,38168,2393310,506727,950,333114,383079,TJ
1994,37028,2536617,517097,1052,320022,413596,TJ
1995,39285,2348601,534016,1060,330575,430286,TJ
1996,40623,2397796,572387,1161,339051,400615,TJ
1997,41781,2411962,544948,1276,350955,431589,TJ
1998,43268,2496478,543398,1435,352595,456735,TJ
1999,30291,2500290,534484,1605,347420,484819,TJ
2000,37417,2607351,526284,1821,342666,523256,TJ
2001,36738,2617175,442597,2183,315387,529930,TJ
2002,51531,2579449,483357,2428,309485,539254,TJ
2003,100767,2625591,462907,2793,312351,620333,TJ
2004,98322,2784073,476188,3102,313552,653810,TJ
2005,117253,2877932,484071,3539,324532,682819,TJ
2006,163964,3008031,514635,3948,321434,698248,TJ
2007,111593,3138723,508610,4557,316690,733240,TJ
2008,147260,3177964,554955,3267,317386,752482,TJ
2009,86790,3076516,482944,4007,302323,741099,TJ
2010,169126,3169596,541863,4857,296959,776498,TJ
2011,208209,3157628,575051,5665,299756,841741,TJ
2012,127642,3122874,599579,6427,297736,891755,TJ
2013,157788,3085126,625373,7236,317413,869291,TJ
2014,109236,3117747,594297,8063,291825,907991,TJ
2015,162545,3105265,583479,9087,289990,926820,TJ
2016,77516,3217538,596955,10179,289834,973321,TJ
2017,142794,3125978,633600,10887,325116,978915,TJ
2018,107081,2961553,512474,12531,306644,1078905,TJ
2019,105120,3008249,515061,13796,307878,1008271,TJ
2020,106166,2521513,439303,16279,270932,1079852,TJ
2021,51691,2529020,382849,17082,292741,1062147,TJ
2022,69306,3020183,389046,18066,293339,1079982,TJ
2023,60952,2963910,391999,22740,288991,1099476,TJ
