Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal and coal products,Oil products,Biofuels and waste,Electricity,Heat,Natural gas,Units
1990,32458,308242,37651,348508,3117,,TJ
1991,28514,297333,35195,356418,3777,,TJ
1992,29068,287692,34690,357778,3844,,TJ
1993,31238,296996,37998,362930,4263,,TJ
1994,35206,302567,41388,366494,4071,,TJ
1995,38890,319930,41357,373557,4406,,TJ
1996,38462,337433,40132,371318,4817,,TJ
1997,38274,329074,42876,374029,4759,,TJ
1998,41109,332352,47442,393984,5091,,TJ
1999,39261,334699,56469,393361,5556,,TJ
2000,39939,314262,50247,394318,5374,24830,TJ
2001,35333,335802,43435,403869,6653,28349,TJ
2002,29911,339229,46143,392806,7180,21192,TJ
2003,29423,362696,46000,371354,7939,29185,TJ
2004,33292,350546,43581,388494,8316,33722,TJ
2005,28168,342738,47349,398617,8730,31001,TJ
2006,23692,357125,45621,386636,9424,32238,TJ
2007,26862,364647,45040,398339,10389,33965,TJ
2008,27886,351614,48629,403275,11001,35674,TJ
2009,19721,343694,47513,386233,12436,31641,TJ
2010,24377,364853,58836,408847,15700,32794,TJ
2011,23446,353819,57998,388690,13669,35230,TJ
2012,24888,353032,53735,398228,15424,35394,TJ
2013,24818,350434,48253,401161,17131,37522,TJ
2014,24692,349433,40017,392491,16298,39109,TJ
2015,24349,351392,42729,401514,17614,40465,TJ
2016,26130,344220,47692,412324,19087,36055,TJ
2017,25956,340068,57872,414190,19947,39904,TJ
2018,24875,346834,53418,421438,20903,35879,TJ
2019,25026,335666,58934,418346,20836,40166,TJ
2020,26009,323422,57964,418283,19059,36473,TJ
2021,27994,328122,61747,440117,23367,34951,TJ
2022,25407,328256,61680,413830,22141,30218,TJ
2023,23445,331211,58697,415163,24755,29984,TJ
