Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal,Crude oil,Oil products,Natural gas,"Wind, solar, etc.",Biofuels and waste,Electricity,Heat,Units
1990,13037897,110573,3431396,371403,1349,8565644,1634018,553267,TJ
1991,13250082,92570,3792242,377708,2546,8651760,1887303,611435,TJ
1992,13227983,87336,4101320,353883,4045,8715088,2093317,661864,TJ
1993,13657918,104125,4481675,362433,6291,8786047,2314616,772856,TJ
1994,13847309,92653,4703083,375148,8989,8823224,2589274,896681,TJ
1995,15020133,56521,5227668,379847,11903,8838870,2759842,828719,TJ
1996,13185503,134689,5660248,465849,14991,8712911,3004491,906045,TJ
1997,13376634,80805,6322710,403233,18830,8760027,3108632,926660,TJ
1998,13440831,74315,6436624,430957,23416,8659890,3228245,965463,TJ
1999,11655971,78293,6943378,453742,31001,8612709,3421854,987606,TJ
2000,11491308,94579,7457112,518217,40083,8435052,3731695,1088618,TJ
2001,11976986,95919,7620329,615959,49170,8088665,4057246,1145857,TJ
2002,12421479,98347,8282863,651021,61252,8002787,4510972,1276269,TJ
2003,14213524,108438,9201577,822283,76332,7741070,5322171,1427089,TJ
2004,17938298,144863,10839467,1045950,91410,7412897,6190037,1546793,TJ
2005,22539107,151436,11306086,1218302,116976,7172197,7180592,1846726,TJ
2006,23893405,172370,12237546,1457509,145831,7088000,8344054,2054637,TJ
2007,25261789,173626,13012052,1802422,179156,6586096,9649000,2201516,TJ
2008,26676319,121459,13377459,2079156,228569,6066478,10242068,2242102,TJ
2009,28310708,142058,13854526,2158234,302963,5728670,11035951,2331433,TJ
2010,29803786,135610,15314893,3068981,354162,5312970,12422685,2630479,TJ
2011,31716221,65021,16075655,3167574,458260,4968031,13905143,2834624,TJ
2012,32240580,38686,17052026,3579736,543314,4621544,14861167,3082418,TJ
2013,32288978,61587,18052711,4028265,788830,4224425,16198855,3248547,TJ
2014,32372312,161987,18835710,4423585,839914,4123254,17406007,3370995,TJ
2015,31805391,143314,20153966,4406312,898644,3978065,17535711,3619071,TJ
2016,29864496,129832,20770677,4769209,943202,3730665,18572716,3934004,TJ
2017,27236776,27938,21638951,5509028,973273,3697103,20281072,4206312,TJ
2018,25268122,29253,23195527,6660364,963014,3689582,21604171,4723028,TJ
2019,24040662,24316,24145385,7548997,987689,3344444,22675992,4925673,TJ
2020,23645502,71778,24576181,8219738,1038281,3066434,23643954,5363190,TJ
2021,22704134,87487,26078842,9386949,1088378,2786549,26114701,6490154,TJ
2022,22002949,26106,26102403,9327531,1130906,2524086,27186839,7513595,TJ
2023,22022212,26106,28293701,10126845,1167761,2297562,28847163,8139536,TJ
