Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal,Oil products,Natural gas,"Wind, solar, etc.",Biofuels and waste,Electricity,Heat,Units
1990,328523,852833,29747,16428,301722,161827,,TJ
1991,353996,834780,46105,17007,300827,169322,,TJ
1992,337009,865096,68120,18773,300520,186242,,TJ
1993,310557,994050,87081,20434,297700,204285,,TJ
1994,254845,943816,85773,22778,297564,212418,,TJ
1995,290179,1064043,116713,24274,284238,234478,,TJ
1996,355543,1111656,142160,26360,286477,257148,,TJ
1997,396968,1078159,170376,29722,286833,286851,,TJ
1998,392875,1051547,172246,33176,289023,309178,,TJ
1999,320292,1045773,169263,35766,281132,321138,,TJ
2000,453738,1093811,205611,36854,270289,345142,16182,TJ
2001,294348,1010828,220049,40781,259991,343134,12592,TJ
2002,397628,1070710,250548,43868,250082,365515,17374,TJ
2003,460530,1059287,320425,47469,240622,397310,15367,TJ
2004,480815,1082316,353937,49646,231562,430624,18831,TJ
2005,447250,1092776,420742,54873,222900,463107,35596,TJ
2006,539599,1158570,525636,54439,215507,509039,40149,TJ
2007,591690,1170124,588549,55841,209302,550047,43273,TJ
2008,513367,1149069,554192,59912,199785,574675,42685,TJ
2009,585010,1197591,471027,70259,191899,557740,44382,TJ
2010,620544,1188601,550038,76343,185963,612050,51330,TJ
2011,576546,1181876,739839,87629,148528,662374,50917,TJ
2012,613346,1248534,758663,93409,147782,694425,51317,TJ
2013,480491,1301709,794799,94536,154074,706204,50766,TJ
2014,478614,1278705,823011,96044,136486,739591,48410,TJ
2015,502900,1468578,897478,114278,121919,772203,41495,TJ
2016,528821,1569460,912534,113755,112853,821041,38839,TJ
2017,530052,1669691,1053033,113169,103628,884719,43300,TJ
2018,446066,1639306,1044588,118528,106322,917763,41613,TJ
2019,452766,1658529,1082238,116393,106275,911546,42990,TJ
2020,513076,1671323,1116313,117104,108961,931408,45600,TJ
2021,538220,1738933,1250222,117825,114094,1017314,43364,TJ
2022,451078,1734818,1242066,118185,122099,1016207,39326,TJ
2023,461707,1845638,1185550,155184,131555,1027394,33794,TJ
