Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal and coal products,Primary oil,Oil products,Natural gas,Biofuels and waste,Electricity,Heat,"Solar, wind and other renewables",Units
1990,2290763,9214,6061628,5992313,339445,2975871,8500251,,TJ
1991,2003072,8752,6323291,5856947,320287,2920712,8500251,,TJ
1992,1267258,7826,5486380,5690869,336486,2722877,8500251,,TJ
1993,1270201,7068,4668290,5938037,348254,2540779,8561943,,TJ
1994,1030420,6816,3600665,5209491,213192,2287033,7751280,,TJ
1995,1015815,7573,3610270,4946733,186338,2225988,7198200,,TJ
1996,784289,9299,3408234,4776842,163451,2164212,5973400,,TJ
1997,655962,16325,3382831,4553180,147564,2123560,5715100,,TJ
1998,628187,16830,3046112,4683798,115596,2082682,5677500,,TJ
1999,714140,22637,3451221,4797051,157090,2133421,5705634,,TJ
2000,752354,35386,3756391,4905814,127752,2190693,5727572,,TJ
2001,794229,26003,3848599,4910098,118514,2224925,5724348,,TJ
2002,704878,6858,3730198,4846000,109767,2225653,5471351,,TJ
2003,621398,4670,3806922,5181599,110411,2276035,5525832,,TJ
2004,603541,8625,3868465,5221399,110215,2323915,5446250,,TJ
2005,554043,2945,3844588,5361353,109330,2339902,5036038,,TJ
2006,573464,2482,4003081,5471965,101648,2453043,5136566,,TJ
2007,615835,1683,4165390,5491901,116663,2523391,4966053,,TJ
2008,662400,2356,4436145,5609350,96189,2611656,4757648,,TJ
2009,587745,1725,4250654,5381757,96172,2470449,4543551,,TJ
2010,596422,4586,4588324,5996666,98308,2616058,4799593,,TJ
2011,656744,4081,4329317,5777388,102533,2623766,5173595,,TJ
2012,1092633,3576,4336966,5361761,111060,2665026,5180648,,TJ
2013,1009522,4460,4544567,5328095,109673,2678727,4600206,,TJ
2014,1072219,4628,4792989,5771300,106300,2656187,4582519,,TJ
2015,1145607,3829,4796552,5912206,127451,2636421,4324824,,TJ
2016,1169748,1683,4739911,6313171,147741,2678293,4407609,,TJ
2017,1124897,1098,5057506,6920589,141958,2739185,4443950,,TJ
2018,1148585,715,5213899,7698047,166713,2734493,4489751,,TJ
2019,1297648,1295,5459963,7466268,221298,2720289,4406434,,TJ
2020,1292834,556,5282090,7067852,224432,2690864,4233921,0,TJ
2021,1348844,556,5672134,7685835,234086,2907434,4576497,0,TJ
2022,1295573,568,5821271,7326170,222379,2962148,4471998,,TJ
2023,1348596,557,5677159,6956635,229384,3014392,4565171,,TJ
