Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal,Oil products,Natural gas,Electricity,Units
1990,874,159487,2615,46659,TJ
1991,507,163992,2765,48502,TJ
1992,761,148209,2943,51321,TJ
1993,857,150662,3172,55537,TJ
1994,1027,161826,3386,61498,TJ
1995,479,183953,3441,65847,TJ
1996,11,183435,3568,71154,TJ
1997,0,263483,3946,79984,TJ
1998,0,226231,4104,85748,TJ
1999,0,214911,4234,90669,TJ
2000,0,245046,4400,98298,TJ
2001,0,268118,4542,100126,TJ
2002,282,325733,4501,105519,TJ
2003,366,364251,12927,107812,TJ
2004,289,412087,17827,110728,TJ
2005,84,414528,21153,127763,TJ
2006,197,424801,21280,132487,TJ
2007,338,462564,23249,137901,TJ
2008,169,330005,24592,140356,TJ
2009,169,376347,32703,139762,TJ
2010,310,444121,42520,152107,TJ
2011,310,448418,44612,154825,TJ
2012,981,464281,42435,159123,TJ
2013,5418,490628,49426,161816,TJ
2014,6811,527978,51061,167050,TJ
2015,6811,563781,50508,171050,TJ
2016,6991,517798,51255,175042,TJ
2017,25141,520874,54204,178696,TJ
2018,7640,522643,55749,181659,TJ
2019,7573,523891,55857,186228,TJ
2020,7649,473601,61732,182806,TJ
2021,7728,497421,61345,192540,TJ
2022,8025,505166,59458,197585,TJ
2023,8111,494606,56019,199392,TJ
