Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal,Oil products,Biofuels and waste,Electricity,"Wind, solar, etc.",Natural gas,Units
1990,684497,631216,385746,498549,,,TJ
1991,650719,629861,391545,496051,,,TJ
1992,591238,621081,394870,457686,,,TJ
1993,594127,591419,400941,471635,,,TJ
1994,600677,615103,393086,491187,,,TJ
1995,657719,669856,416050,507502,,,TJ
1996,684700,672997,421214,601289,,,TJ
1997,723211,682493,437661,630414,,,TJ
1998,726904,687968,443763,611535,,,TJ
1999,658191,687506,435112,600940,,,TJ
2000,666791,667916,239838,626893,,,TJ
2001,639016,677843,224418,601477,510,,TJ
2002,699549,690881,230892,645116,579,,TJ
2003,746455,730596,216352,668858,647,,TJ
2004,802791,765052,205689,677746,720,,TJ
2005,788292,790530,207397,695498,743,,TJ
2006,770093,815255,204887,717296,748,,TJ
2007,772765,955324,202583,751950,814,,TJ
2008,807764,955882,201319,727178,2104,,TJ
2009,973106,924838,181578,693255,2495,,TJ
2010,645409,930612,175366,729658,2767,34392,TJ
2011,571702,990647,175116,736927,3005,72642,TJ
2012,675993,985323,173954,712454,3253,72297,TJ
2013,749097,1050967,179263,708494,3804,71415,TJ
2014,777282,1023968,165844,703817,4240,71170,TJ
2015,682672,1055392,151818,688780,4576,72964,TJ
2016,671402,1019789,148666,735735,4907,70865,TJ
2017,774774,1120371,152821,731273,5200,77131,TJ
2018,752525,1090176,152331,732597,5281,69400,TJ
2019,639352,1031400,147608,716207,5295,70898,TJ
2020,618808,912299,137942,687985,4968,74871,TJ
2021,590271,1002972,133973,695554,5214,63965,TJ
2022,560564,1051246,134804,687948,5314,64565,TJ
2023,573087,1093552,135902,667248,5351,65092,TJ
