Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Oil products,Natural gas,Electricity,Biofuels and waste,Coal and coal products,Units
1990,260477,365793,51649,,,TJ
1991,269473,482562,52469,,,TJ
1992,280057,409207,56516,1355,,TJ
1993,298976,402147,65710,1108,,TJ
1994,290486,481217,71776,985,,TJ
1995,295755,528316,79419,985,,TJ
1996,275399,590571,84473,739,,TJ
1997,276261,629185,90287,739,,TJ
1998,282186,619990,106156,708,,TJ
1999,287298,610075,118029,708,,TJ
2000,306435,524064,126989,708,,TJ
2001,326605,670522,137253,708,774,TJ
2002,352146,605416,148964,708,3947,TJ
2003,382287,573579,157208,708,4643,TJ
2004,389231,533495,166640,1047,5263,TJ
2005,414481,559854,192967,1078,6088,TJ
2006,433310,535014,212259,1139,11790,TJ
2007,449673,692650,250387,1262,5675,TJ
2008,479796,842850,256082,1385,14370,TJ
2009,548216,991148,272023,1447,581,TJ
2010,573044,1023317,296513,1447,872,TJ
2011,597764,1090401,312300,1478,1226,TJ
2012,633900,1125457,334231,1509,12531,TJ
2013,709872,1169893,350154,1540,8808,TJ
2014,779251,1097594,369702,1570,3561,TJ
2015,676988,1265700,411519,1632,10567,TJ
2016,751049,1294981,417499,1694,15810,TJ
2017,796325,1034947,432574,1713,34259,TJ
2018,829685,753034,439258,1701,33734,TJ
2019,806548,1025099,451208,1685,44297,TJ
2020,724072,1102234,447724,1644,46801,TJ
2021,779158,1042687,487728,1642,46387,TJ
2022,802536,1099221,509314,1695,46534,TJ
2023,838722,1322285,552443,1730,52460,TJ
