Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal,Oil products,Natural gas,"Wind, solar, etc.",Biofuels and waste,Electricity,Heat,Units
1990,465279,2564138,1749512,461,17396,987955,,TJ
1991,468007,2638484,1889907,461,17891,1011772,,TJ
1992,419130,2636777,1845664,461,26608,1013288,,TJ
1993,405679,2687321,1882122,461,25956,1030071,,TJ
1994,373337,2717875,1892546,461,36249,1023350,,TJ
1995,303673,2672314,1948648,461,38508,1060999,,TJ
1996,277868,2736379,2174176,461,38792,1113717,,TJ
1997,259178,2689626,2076255,461,37770,1120305,,TJ
1998,227844,2658443,2143519,426,32902,1136440,,TJ
1999,216033,2685772,2119971,451,25818,1161878,101435,TJ
2000,181349,2620022,2195345,502,25856,1185912,102110,TJ
2001,188701,2594616,2215359,587,22799,1197799,95247,TJ
2002,174796,2591405,2116209,705,23697,1200243,87263,TJ
2003,159476,2630115,2169040,860,25176,1210384,75793,TJ
2004,147566,2663476,2183306,1061,25258,1220205,52651,TJ
2005,130773,2646127,2112557,1262,27663,1255230,53088,TJ
2006,137539,2636523,2008912,1552,33434,1242824,52116,TJ
2007,142466,2564423,1915725,1911,44176,1229961,56017,TJ
2008,150871,2435035,1967255,821,68265,1232608,61357,TJ
2009,124485,2320852,1786834,968,76831,1156910,50507,TJ
2010,127028,2319786,1971704,1142,92939,1180161,53020,TJ
2011,116510,2229639,1636073,1291,88249,1140735,50495,TJ
2012,114152,2190489,1784177,1384,83490,1142427,50561,TJ
2013,134663,2159716,1805331,1449,100611,1135394,49915,TJ
2014,132807,2177687,1540945,1501,111211,1086359,48348,TJ
2015,121101,2262208,1595157,1528,110597,1086871,51768,TJ
2016,105052,2324252,1609838,1540,116495,1088234,51888,TJ
2017,95161,2350928,1594410,1546,122934,1072752,53205,TJ
2018,88264,2307641,1652274,1487,149590,1083100,53780,TJ
2019,81559,2256968,1608996,1541,176278,1073361,51946,TJ
2020,79214,1891383,1590228,1531,184476,1007205,52330,TJ
2021,73183,1971189,1675674,1546,186010,1026822,52353,TJ
2022,77346,1977767,1422332,1522,209388,980674,51080,TJ
2023,73394,1934318,1342578,1499,222269,968709,49695,TJ
