Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal,Oil products,Natural gas,"Wind, solar, etc.",Biofuels and waste,Electricity,Heat,Crude oil,Units
1990,2329410,28608103,12689173,14069,946073,9480870,90070,,TJ
1991,2296999,28012935,12580317,14655,1081126,9982537,254725,,TJ
1992,1445937,28751242,12722887,14947,1320228,9991627,298848,,TJ
1993,1328572,29089596,13327254,15533,1089404,10342904,302803,,TJ
1994,1338806,30062666,13389295,16414,1072577,10642528,298218,,TJ
1995,1271321,30229677,13667841,16999,1233768,10951120,312103,,TJ
1996,1249146,31223434,14270815,17293,1175226,11260713,317158,,TJ
1997,1331158,31432793,14616062,17879,1118378,11427091,318651,,TJ
1998,1310652,31654137,13845575,18464,1253427,11812780,304506,,TJ
1999,1366343,32617655,13810532,83675,2104525,12131586,288446,,TJ
2000,1363242,33219055,15071986,82037,2183867,12598066,221152,,TJ
2001,1382212,33652327,14031900,80823,1838125,12441826,207733,,TJ
2002,1319959,33750392,13968816,80740,1662183,12800538,202732,,TJ
2003,1360728,34094462,13867317,84389,1935639,12906043,200413,,TJ
2004,1450734,35288890,13526657,84387,2067099,13089833,129013,,TJ
2005,1311237,35270269,12940983,87311,2262437,13433511,136483,,TJ
2006,1327577,35123230,12440119,92263,2484886,13495042,296031,,TJ
2007,1298191,34700279,13154779,98838,2576282,13857076,301463,,TJ
2008,1258584,32575459,13439566,67560,2723397,13786682,291612,,TJ
2009,984832,30725321,12774967,66743,2710263,13120927,284429,122827,TJ
2010,1123495,31751328,13466145,90236,2847024,13637955,277883,150889,TJ
2011,1028217,30122639,13519245,93275,2983547,13605922,278071,85103,TJ
2012,917587,29601860,13057749,96106,2978374,13416386,273651,88217,TJ
2013,938505,30045148,14224665,99846,3268409,13558161,245688,103236,TJ
2014,929619,30246807,14733581,103741,3315329,13640234,234204,105025,TJ
2015,817007,30883847,14113039,107120,3228030,13611009,228511,180109,TJ
2016,732802,31040556,14167626,94308,3263132,13730187,277588,125511,TJ
2017,712304,31115924,14499416,88557,3237927,13522015,245406,185464,TJ
2018,701165,31739161,15934768,148035,3503246,14043151,260320,238469,TJ
2019,644740,31622507,16018751,127018,3590849,13787827,252619,0,TJ
2020,540438,27963136,14924938,128891,3294752,13600044,249865,0,TJ
2021,567856,30340529,15475637,136878,3484833,13817551,235115,0,TJ
2022,553349,31085058,16142048,146160,3576353,14422350,228902,0,TJ
2023,513489,30851524,15595632,155091,4011426,14019321,227629,,TJ
