Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal and coal products,Primary oil,Oil products,Natural gas,"Solar, wind and other renewables",Biofuels and waste,Electricity,Heat,Units
1990,31470687,459065,108732875,39628333,144247,29441619,34923446,14072041,TJ
1991,30571791,550112,110020684,40367601,151274,29883216,36031032,14095737,TJ
1992,27983472,561812,111238083,40016959,159071,30414481,36275030,14110565,TJ
1993,27647548,551289,111469139,41018729,166331,30568024,36996952,13978397,TJ
1994,26848856,529558,113569702,40909270,176301,30822715,37971222,12879791,TJ
1995,27677913,470225,116905964,42097564,187848,31445824,39150659,12007206,TJ
1996,25422084,649279,120707977,44236594,195573,31711034,40432851,10976242,TJ
1997,25464968,653893,123533877,44114709,205070,32081432,41385179,10450821,TJ
1998,24609566,627955,124034854,43711941,214443,32415633,42417863,10380996,TJ
1999,22588859,556000,127748408,44843202,287736,33639442,43683972,10373543,TJ
2000,22652980,568639,130395694,46969600,298813,33217984,45506245,10413611,TJ
2001,23045652,549631,131732835,46419977,308880,32603508,46190994,10615015,TJ
2002,23513871,507076,133875784,47002873,328101,32869149,47858543,10502169,TJ
2003,25837064,487343,136431273,48511282,356168,33520195,49764563,10862868,TJ
2004,29912851,495370,142611527,49450543,377573,33921990,51974655,10981425,TJ
2005,34626948,520005,144352704,50057677,413371,34478329,54483058,10928701,TJ
2006,36472693,556517,146906555,50794167,454186,35256269,56851150,11282103,TJ
2007,38369030,556674,149431670,52659807,504838,35547328,59686428,11261910,TJ
2008,40378576,528222,147657752,54013174,548968,35834309,60657628,11009941,TJ
2009,41266709,782847,144745517,51684021,648371,35795898,60257780,10757216,TJ
2010,43801246,899073,150732601,56466682,748312,36452307,64402850,11571192,TJ
2011,46036175,593457,150307816,57431844,880274,36292094,66437027,11939091,TJ
2012,46558967,437828,151817541,57313823,954518,36439530,68177276,12236291,TJ
2013,46557450,524093,154348608,59560462,1214108,37146250,70285190,11751410,TJ
2014,46880281,515513,156993046,59485690,1288968,37215718,72212603,11608121,TJ
2015,45670667,549318,160751404,59592437,1386853,37144991,72942138,11526721,TJ
2016,43507753,551639,163240647,61197894,1429232,37235148,75229478,12097722,TJ
2017,41927342,526549,167323063,63331656,1469197,37691392,77734686,12409497,TJ
2018,40223583,558696,169833623,66857474,1543874,38548725,80626201,13042046,TJ
2019,38602849,300108,171208851,68648558,1556230,38717568,81582584,13118153,TJ
2020,37969597,359573,155034447,67468822,1626195,38511370,81536649,13276435,TJ
2021,37608863,373900,163887127,71892322,1701247,39094753,86177823,14829330,TJ
2022,36608238,295853,169182492,70572381,1777750,39533893,88700886,15448626,TJ
2023,36946010,303315,172280680,70328639,1885229,40351296,90904584,16107790,TJ
